process_code,process_name,endpoint,node_no,state_code,business_node,employee_duty,center_duty,tech_duty,data_object,domain_event,node_output
P002,权限申请、复核与回收,员工端,4,S04,数据责任人复核,查看/配合,主办/决策,配置支撑/留痕,P002_S04,P002.stage.04.completed,节点结果、附件、状态事件、通知与审计记录
P002,权限申请、复核与回收,员工端,5,S05,高风险权限审批,查看/配合,主办/决策,系统自动/技术保障,P002_S05,P002.stage.05.completed,节点结果、附件、状态事件、通知与审计记录
P002,权限申请、复核与回收,员工端,6,S06,权限生效,查看/配合,监督/协同,系统自动/技术保障,P002_S06,P002.stage.06.completed,节点结果、附件、状态事件、通知与审计记录
P002,权限申请、复核与回收,员工端,7,S07,定期复核,查看/配合,主办/决策,配置支撑/留痕,P002_S07,P002.stage.07.completed,节点结果、附件、状态事件、通知与审计记录
P002,权限申请、复核与回收,员工端,8,S08,到期/调岗/离职回收,查看/配合,监督/协同,配置支撑/留痕,P002_S08,P002.stage.08.completed,节点结果、附件、状态事件、通知与审计记录
P003,个人资料变更,员工端,1,S01,员工查看本人资料,查看/配合,监督/协同,配置支撑/留痕,P003_S01,P003.stage.01.completed,节点结果、附件、状态事件、通知与审计记录
P003,个人资料变更,员工端,2,S02,选择可自助变更字段,查看/配合,监督/协同,配置支撑/留痕,P003_S02,P003.stage.02.completed,节点结果、附件、状态事件、通知与审计记录
P003,个人资料变更,员工端,3,S03,提交新值与证明,查看/配合,监督/协同,配置支撑/留痕,P003_S03,P003.stage.03.completed,节点结果、附件、状态事件、通知与审计记录
P003,个人资料变更,员工端,4,S04,字段敏感级别校验,查看/配合,主办/决策,配置支撑/留痕,P003_S04,P003.stage.04.completed,节点结果、附件、状态事件、通知与审计记录
P003,个人资料变更,员工端,5,S05,人事/财务/归口岗核验,查看/配合,主办/决策,配置支撑/留痕,P003_S05,P003.stage.05.completed,节点结果、附件、状态事件、通知与审计记录
P003,个人资料变更,员工端,6,S06,权威主档更新,查看/配合,监督/协同,配置支撑/留痕,P003_S06,P003.stage.06.completed,节点结果、附件、状态事件、通知与审计记录
P003,个人资料变更,员工端,7,S07,关联模块投影同步,查看/配合,监督/协同,系统自动/技术保障,P003_S07,P003.stage.07.completed,节点结果、附件、状态事件、通知与审计记录
P003,个人资料变更,员工端,8,S08,通知与审计,查看/配合,监督/协同,系统自动/技术保障,P003_S08,P003.stage.08.completed,节点结果、附件、状态事件、通知与审计记录
P004,通用申请与审批,员工端,1,S01,选择业务事项,查看/配合,监督/协同,配置支撑/留痕,P004_S01,P004.stage.01.completed,节点结果、附件、状态事件、通知与审计记录
P004,通用申请与审批,员工端,2,S02,填写申请与附件,主办/填写,监督/协同,配置支撑/留痕,P004_S02,P004.stage.02.completed,节点结果、附件、状态事件、通知与审计记录
P004,通用申请与审批,员工端,3,S03,前置规则校验,查看/配合,主办/决策,配置支撑/留痕,P004_S03,P004.stage.03.completed,节点结果、附件、状态事件、通知与审计记录
P004,通用申请与审批,员工端,4,S04,提交审批,查看/配合,主办/决策,配置支撑/留痕,P004_S04,P004.stage.04.completed,节点结果、附件、状态事件、通知与审计记录
P004,通用申请与审批,员工端,5,S05,动态审批与会签,查看/配合,主办/决策,配置支撑/留痕,P004_S05,P004.stage.05.completed,节点结果、附件、状态事件、通知与审计记录
P004,通用申请与审批,员工端,6,S06,批准后生成执行任务,主办/填写,主办/决策,系统自动/技术保障,P004_S06,P004.stage.06.completed,节点结果、附件、状态事件、通知与审计记录
P004,通用申请与审批,员工端,7,S07,执行人提交结果,主办/填写,监督/协同,配置支撑/留痕,P004_S07,P004.stage.07.completed,节点结果、附件、状态事件、通知与审计记录
P004,通用申请与审批,员工端,8,S08,独立验收,查看/配合,主办/决策,配置支撑/留痕,P004_S08,P004.stage.08.completed,节点结果、附件、状态事件、通知与审计记录
P004,通用申请与审批,员工端,9,S09,异常补偿,查看/配合,监督/协同,配置支撑/留痕,P004_S09,P004.stage.09.completed,节点结果、附件、状态事件、通知与审计记录
P004,通用申请与审批,员工端,10,S10,归档,查看/配合,主办/决策,配置支撑/留痕,P004_S10,P004.stage.10.completed,节点结果、附件、状态事件、通知与审计记录
P005,制度、通知与执行回执,员工端,1,S01,制度/通知版本发布,查看/配合,主办/决策,配置支撑/留痕,P005_S01,P005.stage.01.completed,节点结果、附件、状态事件、通知与审计记录
P005,制度、通知与执行回执,员工端,2,S02,按组织岗位确定范围,查看/配合,监督/协同,配置支撑/留痕,P005_S02,P005.stage.02.completed,节点结果、附件、状态事件、通知与审计记录
P005,制度、通知与执行回执,员工端,3,S03,消息送达,查看/配合,监督/协同,配置支撑/留痕,P005_S03,P005.stage.03.completed,节点结果、附件、状态事件、通知与审计记录
P005,制度、通知与执行回执,员工端,4,S04,员工阅读,主办/填写,监督/协同,配置支撑/留痕,P005_S04,P005.stage.04.completed,节点结果、附件、状态事件、通知与审计记录
P005,制度、通知与执行回执,员工端,5,S05,确认/阅签,主办/填写,主办/决策,配置支撑/留痕,P005_S05,P005.stage.05.completed,节点结果、附件、状态事件、通知与审计记录
P005,制度、通知与执行回执,员工端,6,S06,考试或理解验证,主办/填写,监督/协同,配置支撑/留痕,P005_S06,P005.stage.06.completed,节点结果、附件、状态事件、通知与审计记录
P005,制度、通知与执行回执,员工端,7,S07,执行任务,主办/填写,监督/协同,配置支撑/留痕,P005_S07,P005.stage.07.completed,节点结果、附件、状态事件、通知与审计记录
P005,制度、通知与执行回执,员工端,8,S08,责任人验收,查看/配合,主办/决策,配置支撑/留痕,P005_S08,P005.stage.08.completed,节点结果、附件、状态事件、通知与审计记录
P005,制度、通知与执行回执,员工端,9,S09,未完成催办升级,查看/配合,监督/协同,配置支撑/留痕,P005_S09,P005.stage.09.completed,节点结果、附件、状态事件、通知与审计记录
P005,制度、通知与执行回执,员工端,10,S10,档案移交,查看/配合,监督/协同,配置支撑/留痕,P005_S10,P005.stage.10.completed,节点结果、附件、状态事件、通知与审计记录
P006,会议与行动项,员工端,1,S01,议题征集,查看/配合,监督/协同,配置支撑/留痕,P006_S01,P006.stage.01.completed,节点结果、附件、状态事件、通知与审计记录
P006,会议与行动项,员工端,2,S02,材料完整性检查,查看/配合,监督/协同,配置支撑/留痕,P006_S02,P006.stage.02.completed,节点结果、附件、状态事件、通知与审计记录
P006,会议与行动项,员工端,3,S03,会议发布,查看/配合,主办/决策,配置支撑/留痕,P006_S03,P006.stage.03.completed,节点结果、附件、状态事件、通知与审计记录
P006,会议与行动项,员工端,4,S04,签到与请假,查看/配合,监督/协同,配置支撑/留痕,P006_S04,P006.stage.04.completed,节点结果、附件、状态事件、通知与审计记录
P006,会议与行动项,员工端,5,S05,会议召开,查看/配合,监督/协同,配置支撑/留痕,P006_S05,P006.stage.05.completed,节点结果、附件、状态事件、通知与审计记录
P006,会议与行动项,员工端,6,S06,主持人确认纪要,主办/填写,主办/决策,配置支撑/留痕,P006_S06,P006.stage.06.completed,节点结果、附件、状态事件、通知与审计记录
P006,会议与行动项,员工端,7,S07,行动项生成,查看/配合,监督/协同,系统自动/技术保障,P006_S07,P006.stage.07.completed,节点结果、附件、状态事件、通知与审计记录
P006,会议与行动项,员工端,8,S08,责任人执行,主办/填写,监督/协同,配置支撑/留痕,P006_S08,P006.stage.08.completed,节点结果、附件、状态事件、通知与审计记录
P006,会议与行动项,员工端,9,S09,验收与返工,查看/配合,主办/决策,配置支撑/留痕,P006_S09,P006.stage.09.completed,节点结果、附件、状态事件、通知与审计记录
P006,会议与行动项,员工端,10,S10,逾期升级,查看/配合,监督/协同,配置支撑/留痕,P006_S10,P006.stage.10.completed,节点结果、附件、状态事件、通知与审计记录
P006,会议与行动项,员工端,11,S11,归档复盘,查看/配合,主办/决策,配置支撑/留痕,P006_S11,P006.stage.11.completed,节点结果、附件、状态事件、通知与审计记录
P007,排班与班次调整,员工端,1,S01,业务量与活动需求输入,查看/配合,监督/协同,配置支撑/留痕,P007_S01,P007.stage.01.completed,节点结果、附件、状态事件、通知与审计记录
P007,排班与班次调整,员工端,2,S02,班次模板匹配,查看/配合,监督/协同,配置支撑/留痕,P007_S02,P007.stage.02.completed,节点结果、附件、状态事件、通知与审计记录
P007,排班与班次调整,员工端,3,S03,资格与连续工时校验,查看/配合,主办/决策,配置支撑/留痕,P007_S03,P007.stage.03.completed,节点结果、附件、状态事件、通知与审计记录
P007,排班与班次调整,员工端,4,S04,主管发布排班,查看/配合,主办/决策,配置支撑/留痕,P007_S04,P007.stage.04.completed,节点结果、附件、状态事件、通知与审计记录
P007,排班与班次调整,员工端,5,S05,员工确认,主办/填写,主办/决策,配置支撑/留痕,P007_S05,P007.stage.05.completed,节点结果、附件、状态事件、通知与审计记录
P007,排班与班次调整,员工端,6,S06,换班/替班申请,主办/填写,监督/协同,配置支撑/留痕,P007_S06,P007.stage.06.completed,节点结果、附件、状态事件、通知与审计记录
P007,排班与班次调整,员工端,7,S07,变更审批,查看/配合,主办/决策,配置支撑/留痕,P007_S07,P007.stage.07.completed,节点结果、附件、状态事件、通知与审计记录
P007,排班与班次调整,员工端,8,S08,考勤与餐饮/班车联动,查看/配合,监督/协同,配置支撑/留痕,P007_S08,P007.stage.08.completed,节点结果、附件、状态事件、通知与审计记录
P007,排班与班次调整,员工端,9,S09,日结,查看/配合,监督/协同,配置支撑/留痕,P007_S09,P007.stage.09.completed,节点结果、附件、状态事件、通知与审计记录
P008,请假与考勤,员工端,1,S01,请假申请,主办/填写,监督/协同,配置支撑/留痕,P008_S01,P008.stage.01.completed,节点结果、附件、状态事件、通知与审计记录
P008,请假与考勤,员工端,2,S02,假期额度预占,查看/配合,监督/协同,配置支撑/留痕,P008_S02,P008.stage.02.completed,节点结果、附件、状态事件、通知与审计记录
P008,请假与考勤,员工端,3,S03,工作交接与代理,主办/填写,监督/协同,配置支撑/留痕,P008_S03,P008.stage.03.completed,节点结果、附件、状态事件、通知与审计记录
P008,请假与考勤,员工端,4,S04,审批,查看/配合,主办/决策,配置支撑/留痕,P008_S04,P008.stage.04.completed,节点结果、附件、状态事件、通知与审计记录
P008,请假与考勤,员工端,5,S05,预占转扣减/驳回释放,查看/配合,监督/协同,配置支撑/留痕,P008_S05,P008.stage.05.completed,节点结果、附件、状态事件、通知与审计记录
P008,请假与考勤,员工端,6,S06,排班与考勤标记,查看/配合,主办/决策,配置支撑/留痕,P008_S06,P008.stage.06.completed,节点结果、附件、状态事件、通知与审计记录
P008,请假与考勤,员工端,7,S07,实际休假,查看/配合,监督/协同,配置支撑/留痕,P008_S07,P008.stage.07.completed,节点结果、附件、状态事件、通知与审计记录
P008,请假与考勤,员工端,8,S08,销假/提前返岗/变更,查看/配合,监督/协同,配置支撑/留痕,P008_S08,P008.stage.08.completed,节点结果、附件、状态事件、通知与审计记录
P008,请假与考勤,员工端,9,S09,差额账本调整,查看/配合,监督/协同,配置支撑/留痕,P008_S09,P008.stage.09.completed,节点结果、附件、状态事件、通知与审计记录
P008,请假与考勤,员工端,10,S10,考勤日结与归档,查看/配合,主办/决策,配置支撑/留痕,P008_S10,P008.stage.10.completed,节点结果、附件、状态事件、通知与审计记录
P009,加班与调休,员工端,1,S01,事前申请/紧急事实登记,主办/填写,监督/协同,配置支撑/留痕,P009_S01,P009.stage.01.completed,节点结果、附件、状态事件、通知与审计记录
P009,加班与调休,员工端,2,S02,必要性与任务校验,查看/配合,主办/决策,配置支撑/留痕,P009_S02,P009.stage.02.completed,节点结果、附件、状态事件、通知与审计记录
P009,加班与调休,员工端,3,S03,主管审批,查看/配合,主办/决策,配置支撑/留痕,P009_S03,P009.stage.03.completed,节点结果、附件、状态事件、通知与审计记录
P009,加班与调休,员工端,4,S04,实际考勤与劳动事实,查看/配合,监督/协同,配置支撑/留痕,P009_S04,P009.stage.04.completed,节点结果、附件、状态事件、通知与审计记录
P009,加班与调休,员工端,5,S05,成果验收,查看/配合,主办/决策,配置支撑/留痕,P009_S05,P009.stage.05.completed,节点结果、附件、状态事件、通知与审计记录
P009,加班与调休,员工端,6,S06,人事复核,查看/配合,主办/决策,配置支撑/留痕,P009_S06,P009.stage.06.completed,节点结果、附件、状态事件、通知与审计记录
P009,加班与调休,员工端,7,S07,法定工资/调休方案,查看/配合,监督/协同,配置支撑/留痕,P009_S07,P009.stage.07.completed,节点结果、附件、状态事件、通知与审计记录
P009,加班与调休,员工端,8,S08,薪酬回执,查看/配合,监督/协同,配置支撑/留痕,P009_S08,P009.stage.08.completed,节点结果、附件、状态事件、通知与审计记录
P009,加班与调休,员工端,9,S09,归档,查看/配合,主办/决策,配置支撑/留痕,P009_S09,P009.stage.09.completed,节点结果、附件、状态事件、通知与审计记录
P010,员工学习、考试与资格,员工端,1,S01,课程/制度版本发布,查看/配合,主办/决策,配置支撑/留痕,P010_S01,P010.stage.01.completed,节点结果、附件、状态事件、通知与审计记录
P010,员工学习、考试与资格,员工端,2,S02,按岗位风险指派,查看/配合,监督/协同,配置支撑/留痕,P010_S02,P010.stage.02.completed,节点结果、附件、状态事件、通知与审计记录
P010,员工学习、考试与资格,员工端,3,S03,员工学习,主办/填写,监督/协同,配置支撑/留痕,P010_S03,P010.stage.03.completed,节点结果、附件、状态事件、通知与审计记录
P010,员工学习、考试与资格,员工端,4,S04,1000分制考试,主办/填写,监督/协同,配置支撑/留痕,P010_S04,P010.stage.04.completed,节点结果、附件、状态事件、通知与审计记录
P010,员工学习、考试与资格,员工端,5,S05,线下实操,查看/配合,监督/协同,配置支撑/留痕,P010_S05,P010.stage.05.completed,节点结果、附件、状态事件、通知与审计记录
P010,员工学习、考试与资格,员工端,6,S06,主管/专业人员认证,查看/配合,监督/协同,系统自动/技术保障,P010_S06,P010.stage.06.completed,节点结果、附件、状态事件、通知与审计记录
P010,员工学习、考试与资格,员工端,7,S07,资格生效,查看/配合,监督/协同,配置支撑/留痕,P010_S07,P010.stage.07.completed,节点结果、附件、状态事件、通知与审计记录
P010,员工学习、考试与资格,员工端,8,S08,岗位权限联动,查看/配合,监督/协同,系统自动/技术保障,P010_S08,P010.stage.08.completed,节点结果、附件、状态事件、通知与审计记录
P010,员工学习、考试与资格,员工端,9,S09,到期复训/复证,查看/配合,监督/协同,配置支撑/留痕,P010_S09,P010.stage.09.completed,节点结果、附件、状态事件、通知与审计记录
P010,员工学习、考试与资格,员工端,10,S10,归档,查看/配合,主办/决策,配置支撑/留痕,P010_S10,P010.stage.10.completed,节点结果、附件、状态事件、通知与审计记录
P011,绩效管理,员工端,1,S01,目标制定,查看/配合,监督/协同,配置支撑/留痕,P011_S01,P011.stage.01.completed,节点结果、附件、状态事件、通知与审计记录
P011,绩效管理,员工端,2,S02,员工确认,主办/填写,主办/决策,配置支撑/留痕,P011_S02,P011.stage.02.completed,节点结果、附件、状态事件、通知与审计记录
P011,绩效管理,员工端,3,S03,过程记录与辅导,查看/配合,监督/协同,配置支撑/留痕,P011_S03,P011.stage.03.completed,节点结果、附件、状态事件、通知与审计记录
P011,绩效管理,员工端,4,S04,权威数据归集,查看/配合,监督/协同,配置支撑/留痕,P011_S04,P011.stage.04.completed,节点结果、附件、状态事件、通知与审计记录
P011,绩效管理,员工端,5,S05,员工自评/主管评价,主办/填写,监督/协同,配置支撑/留痕,P011_S05,P011.stage.05.completed,节点结果、附件、状态事件、通知与审计记录
P011,绩效管理,员工端,6,S06,1000分计算,查看/配合,监督/协同,系统自动/技术保障,P011_S06,P011.stage.06.completed,节点结果、附件、状态事件、通知与审计记录
P011,绩效管理,员工端,7,S07,校准,查看/配合,监督/协同,配置支撑/留痕,P011_S07,P011.stage.07.completed,节点结果、附件、状态事件、通知与审计记录
P011,绩效管理,员工端,8,S08,结果反馈确认,主办/填写,主办/决策,配置支撑/留痕,P011_S08,P011.stage.08.completed,节点结果、附件、状态事件、通知与审计记录
P011,绩效管理,员工端,9,S09,申诉复核,主办/填写,主办/决策,配置支撑/留痕,P011_S09,P011.stage.09.completed,节点结果、附件、状态事件、通知与审计记录
P011,绩效管理,员工端,10,S10,绩效影响执行,主办/填写,监督/协同,配置支撑/留痕,P011_S10,P011.stage.10.completed,节点结果、附件、状态事件、通知与审计记录
P011,绩效管理,员工端,11,S11,归档,查看/配合,主办/决策,配置支撑/留痕,P011_S11,P011.stage.11.completed,节点结果、附件、状态事件、通知与审计记录
P012,晋升与任职发展,员工端,1,S01,个人申请/组织提名,主办/填写,监督/协同,配置支撑/留痕,P012_S01,P012.stage.01.completed,节点结果、附件、状态事件、通知与审计记录
P012,晋升与任职发展,员工端,2,S02,资格与冻结状态审查,查看/配合,监督/协同,配置支撑/留痕,P012_S02,P012.stage.02.completed,节点结果、附件、状态事件、通知与审计记录
P012,晋升与任职发展,员工端,3,S03,1000分综合评估,查看/配合,监督/协同,配置支撑/留痕,P012_S03,P012.stage.03.completed,节点结果、附件、状态事件、通知与审计记录
P012,晋升与任职发展,员工端,4,S04,岗位空缺与预算核验,查看/配合,主办/决策,配置支撑/留痕,P012_S04,P012.stage.04.completed,节点结果、附件、状态事件、通知与审计记录
P012,晋升与任职发展,员工端,5,S05,竞聘/评审,查看/配合,主办/决策,配置支撑/留痕,P012_S05,P012.stage.05.completed,节点结果、附件、状态事件、通知与审计记录
P012,晋升与任职发展,员工端,6,S06,审批,查看/配合,主办/决策,配置支撑/留痕,P012_S06,P012.stage.06.completed,节点结果、附件、状态事件、通知与审计记录
P012,晋升与任职发展,员工端,7,S07,公示/告知,查看/配合,监督/协同,配置支撑/留痕,P012_S07,P012.stage.07.completed,节点结果、附件、状态事件、通知与审计记录
P012,晋升与任职发展,员工端,8,S08,任命与薪酬确认,主办/填写,主办/决策,配置支撑/留痕,P012_S08,P012.stage.08.completed,节点结果、附件、状态事件、通知与审计记录
P012,晋升与任职发展,员工端,9,S09,验证期,查看/配合,监督/协同,配置支撑/留痕,P012_S09,P012.stage.09.completed,节点结果、附件、状态事件、通知与审计记录
P012,晋升与任职发展,员工端,10,S10,正式生效/回退安排,查看/配合,监督/协同,配置支撑/留痕,P012_S10,P012.stage.10.completed,节点结果、附件、状态事件、通知与审计记录
P013,奖励,员工端,1,S01,贡献事实形成,查看/配合,监督/协同,配置支撑/留痕,P013_S01,P013.stage.01.completed,节点结果、附件、状态事件、通知与审计记录
P013,奖励,员工端,2,S02,证据核验,查看/配合,主办/决策,配置支撑/留痕,P013_S02,P013.stage.02.completed,节点结果、附件、状态事件、通知与审计记录
P013,奖励,员工端,3,S03,奖励级别建议,查看/配合,监督/协同,配置支撑/留痕,P013_S03,P013.stage.03.completed,节点结果、附件、状态事件、通知与审计记录
P013,奖励,员工端,4,S04,审批,查看/配合,主办/决策,配置支撑/留痕,P013_S04,P013.stage.04.completed,节点结果、附件、状态事件、通知与审计记录
P013,奖励,员工端,5,S05,影响项防重复校验,查看/配合,主办/决策,系统自动/技术保障,P013_S05,P013.stage.05.completed,节点结果、附件、状态事件、通知与审计记录
P013,奖励,员工端,6,S06,荣誉积分/奖金/发展评审影响执行,主办/填写,主办/决策,配置支撑/留痕,P013_S06,P013.stage.06.completed,节点结果、附件、状态事件、通知与审计记录
P013,奖励,员工端,7,S07,员工通知,查看/配合,监督/协同,配置支撑/留痕,P013_S07,P013.stage.07.completed,节点结果、附件、状态事件、通知与审计记录
P013,奖励,员工端,8,S08,财务/人事回执,查看/配合,监督/协同,配置支撑/留痕,P013_S08,P013.stage.08.completed,节点结果、附件、状态事件、通知与审计记录
P013,奖励,员工端,9,S09,归档,查看/配合,主办/决策,配置支撑/留痕,P013_S09,P013.stage.09.completed,节点结果、附件、状态事件、通知与审计记录
P014,纪律、责任与申诉,员工端,1,S01,线索登记,主办/填写,监督/协同,配置支撑/留痕,P014_S01,P014.stage.01.completed,节点结果、附件、状态事件、通知与审计记录
P014,纪律、责任与申诉,员工端,2,S02,临时止险,查看/配合,监督/协同,配置支撑/留痕,P014_S02,P014.stage.02.completed,节点结果、附件、状态事件、通知与审计记录
P014,纪律、责任与申诉,员工端,3,S03,初步核实/正式调查,查看/配合,主办/决策,配置支撑/留痕,P014_S03,P014.stage.03.completed,节点结果、附件、状态事件、通知与审计记录
P014,纪律、责任与申诉,员工端,4,S04,员工陈述申辩,查看/配合,监督/协同,配置支撑/留痕,P014_S04,P014.stage.04.completed,节点结果、附件、状态事件、通知与审计记录
P014,纪律、责任与申诉,员工端,5,S05,责任评审,查看/配合,主办/决策,配置支撑/留痕,P014_S05,P014.stage.05.completed,节点结果、附件、状态事件、通知与审计记录
P014,纪律、责任与申诉,员工端,6,S06,决定审批,查看/配合,主办/决策,配置支撑/留痕,P014_S06,P014.stage.06.completed,节点结果、附件、状态事件、通知与审计记录
P014,纪律、责任与申诉,员工端,7,S07,送达,查看/配合,监督/协同,配置支撑/留痕,P014_S07,P014.stage.07.completed,节点结果、附件、状态事件、通知与审计记录
P014,纪律、责任与申诉,员工端,8,S08,影响项执行,主办/填写,监督/协同,配置支撑/留痕,P014_S08,P014.stage.08.completed,节点结果、附件、状态事件、通知与审计记录
P014,纪律、责任与申诉,员工端,9,S09,申诉复核,主办/填写,主办/决策,配置支撑/留痕,P014_S09,P014.stage.09.completed,节点结果、附件、状态事件、通知与审计记录
P014,纪律、责任与申诉,员工端,10,S10,核心案件关闭,查看/配合,主办/决策,配置支撑/留痕,P014_S10,P014.stage.10.completed,节点结果、附件、状态事件、通知与审计记录
P014,纪律、责任与申诉,员工端,11,S11,独立观察整改,查看/配合,监督/协同,配置支撑/留痕,P014_S11,P014.stage.11.completed,节点结果、附件、状态事件、通知与审计记录
P014,纪律、责任与申诉,员工端,12,S12,补充归档,查看/配合,主办/决策,配置支撑/留痕,P014_S12,P014.stage.12.completed,节点结果、附件、状态事件、通知与审计记录
P015,成长积分与荣誉积分,员工端,1,S01,业务事件产生,查看/配合,监督/协同,配置支撑/留痕,P015_S01,P015.stage.01.completed,节点结果、附件、状态事件、通知与审计记录
P015,成长积分与荣誉积分,员工端,2,S02,人员与来源校验,查看/配合,主办/决策,配置支撑/留痕,P015_S02,P015.stage.02.completed,节点结果、附件、状态事件、通知与审计记录
P015,成长积分与荣誉积分,员工端,3,S03,例外与防重校验,查看/配合,主办/决策,系统自动/技术保障,P015_S03,P015.stage.03.completed,节点结果、附件、状态事件、通知与审计记录
P015,成长积分与荣誉积分,员工端,4,S04,规则版本匹配,查看/配合,监督/协同,配置支撑/留痕,P015_S04,P015.stage.04.completed,节点结果、附件、状态事件、通知与审计记录
P015,成长积分与荣誉积分,员工端,5,S05,计算与封顶,查看/配合,监督/协同,系统自动/技术保障,P015_S05,P015.stage.05.completed,节点结果、附件、状态事件、通知与审计记录
P015,成长积分与荣誉积分,员工端,6,S06,风险分级,查看/配合,监督/协同,配置支撑/留痕,P015_S06,P015.stage.06.completed,节点结果、附件、状态事件、通知与审计记录
P015,成长积分与荣誉积分,员工端,7,S07,自动入账/人工复核,查看/配合,主办/决策,系统自动/技术保障,P015_S07,P015.stage.07.completed,节点结果、附件、状态事件、通知与审计记录
P015,成长积分与荣誉积分,员工端,8,S08,员工通知,查看/配合,监督/协同,配置支撑/留痕,P015_S08,P015.stage.08.completed,节点结果、附件、状态事件、通知与审计记录
P015,成长积分与荣誉积分,员工端,9,S09,申诉/调整/冲销新增流水,主办/填写,监督/协同,配置支撑/留痕,P015_S09,P015.stage.09.completed,节点结果、附件、状态事件、通知与审计记录
P015,成长积分与荣誉积分,员工端,10,S10,有效分与段位重算,查看/配合,监督/协同,配置支撑/留痕,P015_S10,P015.stage.10.completed,节点结果、附件、状态事件、通知与审计记录
P016,员工福利与关怀,员工端,1,S01,系统触发/员工申请/管理发起,主办/填写,主办/决策,系统自动/技术保障,P016_S01,P016.stage.01.completed,节点结果、附件、状态事件、通知与审计记录
P016,员工福利与关怀,员工端,2,S02,资格校验,查看/配合,主办/决策,配置支撑/留痕,P016_S02,P016.stage.02.completed,节点结果、附件、状态事件、通知与审计记录
P016,员工福利与关怀,员工端,3,S03,材料与隐私授权,查看/配合,监督/协同,配置支撑/留痕,P016_S03,P016.stage.03.completed,节点结果、附件、状态事件、通知与审计记录
P016,员工福利与关怀,员工端,4,S04,审批,查看/配合,主办/决策,配置支撑/留痕,P016_S04,P016.stage.04.completed,节点结果、附件、状态事件、通知与审计记录
P016,员工福利与关怀,员工端,5,S05,财务付款/实物发放/服务执行,主办/填写,监督/协同,配置支撑/留痕,P016_S05,P016.stage.05.completed,节点结果、附件、状态事件、通知与审计记录
P016,员工福利与关怀,员工端,6,S06,员工确认,主办/填写,主办/决策,配置支撑/留痕,P016_S06,P016.stage.06.completed,节点结果、附件、状态事件、通知与审计记录
P016,员工福利与关怀,员工端,7,S07,对账,查看/配合,主办/决策,配置支撑/留痕,P016_S07,P016.stage.07.completed,节点结果、附件、状态事件、通知与审计记录
P016,员工福利与关怀,员工端,8,S08,归档,查看/配合,主办/决策,配置支撑/留痕,P016_S08,P016.stage.08.completed,节点结果、附件、状态事件、通知与审计记录
P017,电子签署,员工端,1,S01,模板与数据准备,查看/配合,监督/协同,配置支撑/留痕,P017_S01,P017.stage.01.completed,节点结果、附件、状态事件、通知与审计记录
P017,电子签署,员工端,2,S02,文档生成,查看/配合,监督/协同,系统自动/技术保障,P017_S02,P017.stage.02.completed,节点结果、附件、状态事件、通知与审计记录
P017,电子签署,员工端,3,S03,内部审核,查看/配合,主办/决策,配置支撑/留痕,P017_S03,P017.stage.03.completed,节点结果、附件、状态事件、通知与审计记录
P017,电子签署,员工端,4,S04,发起签署,查看/配合,监督/协同,配置支撑/留痕,P017_S04,P017.stage.04.completed,节点结果、附件、状态事件、通知与审计记录
