process_code,process_name,endpoint,state_code,state_name,enter_condition,allowed_action,next_state,sla,timeout_policy,rollback_rule,audit_point
P006,会议与行动项,员工端,S02,材料完整性检查,议题征集,提交/确认/处理/退回/转交（按权限）,会议发布,按流程配置；默认1个工作日,超时提醒→主管催办→高风险升级,仅退回到可编辑前置节点；关键财务/签署节点不得物理回退,操作者、身份、时间、前后值、原因、附件哈希、设备/IP
P006,会议与行动项,员工端,S03,会议发布,材料完整性检查,提交/确认/处理/退回/转交（按权限）,签到与请假,按流程配置；默认1个工作日,超时提醒→主管催办→高风险升级,仅退回到可编辑前置节点；关键财务/签署节点不得物理回退,操作者、身份、时间、前后值、原因、附件哈希、设备/IP
P006,会议与行动项,员工端,S04,签到与请假,会议发布,提交/确认/处理/退回/转交（按权限）,会议召开,按流程配置；默认1个工作日,超时提醒→主管催办→高风险升级,仅退回到可编辑前置节点；关键财务/签署节点不得物理回退,操作者、身份、时间、前后值、原因、附件哈希、设备/IP
P006,会议与行动项,员工端,S05,会议召开,签到与请假,提交/确认/处理/退回/转交（按权限）,主持人确认纪要,按流程配置；默认1个工作日,超时提醒→主管催办→高风险升级,仅退回到可编辑前置节点；关键财务/签署节点不得物理回退,操作者、身份、时间、前后值、原因、附件哈希、设备/IP
P006,会议与行动项,员工端,S06,主持人确认纪要,会议召开,提交/确认/处理/退回/转交（按权限）,行动项生成,1个工作日；高风险按制度,超时提醒→主管催办→高风险升级,仅退回到可编辑前置节点；关键财务/签署节点不得物理回退,操作者、身份、时间、前后值、原因、附件哈希、设备/IP
P006,会议与行动项,员工端,S07,行动项生成,主持人确认纪要,提交/确认/处理/退回/转交（按权限）,责任人执行,按流程配置；默认1个工作日,超时提醒→主管催办→高风险升级,仅退回到可编辑前置节点；关键财务/签署节点不得物理回退,操作者、身份、时间、前后值、原因、附件哈希、设备/IP
P006,会议与行动项,员工端,S08,责任人执行,行动项生成,提交/确认/处理/退回/转交（按权限）,验收与返工,按计划时点/班次完成,超时提醒→主管催办→高风险升级,仅退回到可编辑前置节点；关键财务/签署节点不得物理回退,操作者、身份、时间、前后值、原因、附件哈希、设备/IP
P006,会议与行动项,员工端,S09,验收与返工,责任人执行,提交/确认/处理/退回/转交（按权限）,逾期升级,1个工作日；高风险按制度,超时提醒→主管催办→高风险升级,仅退回到可编辑前置节点；关键财务/签署节点不得物理回退,操作者、身份、时间、前后值、原因、附件哈希、设备/IP
P006,会议与行动项,员工端,S10,逾期升级,验收与返工,提交/确认/处理/退回/转交（按权限）,归档复盘,按流程配置；默认1个工作日,超时提醒→主管催办→高风险升级,仅退回到可编辑前置节点；关键财务/签署节点不得物理回退,操作者、身份、时间、前后值、原因、附件哈希、设备/IP
P006,会议与行动项,员工端,S11,归档复盘,逾期升级,提交/确认/处理/退回/转交（按权限）,已关闭,事项关闭后2个工作日,超时提醒→主管催办→高风险升级,仅退回到可编辑前置节点；关键财务/签署节点不得物理回退,操作者、身份、时间、前后值、原因、附件哈希、设备/IP
P007,排班与班次调整,员工端,S01,业务量与活动需求输入,流程触发/发起,提交/确认/处理/退回/转交（按权限）,班次模板匹配,按流程配置；默认1个工作日,超时提醒→主管催办→高风险升级,仅退回到可编辑前置节点；关键财务/签署节点不得物理回退,操作者、身份、时间、前后值、原因、附件哈希、设备/IP
P007,排班与班次调整,员工端,S02,班次模板匹配,业务量与活动需求输入,提交/确认/处理/退回/转交（按权限）,资格与连续工时校验,按流程配置；默认1个工作日,超时提醒→主管催办→高风险升级,仅退回到可编辑前置节点；关键财务/签署节点不得物理回退,操作者、身份、时间、前后值、原因、附件哈希、设备/IP
P007,排班与班次调整,员工端,S03,资格与连续工时校验,班次模板匹配,提交/确认/处理/退回/转交（按权限）,主管发布排班,按流程配置；默认1个工作日,超时提醒→主管催办→高风险升级,仅退回到可编辑前置节点；关键财务/签署节点不得物理回退,操作者、身份、时间、前后值、原因、附件哈希、设备/IP
P007,排班与班次调整,员工端,S04,主管发布排班,资格与连续工时校验,提交/确认/处理/退回/转交（按权限）,员工确认,按流程配置；默认1个工作日,超时提醒→主管催办→高风险升级,仅退回到可编辑前置节点；关键财务/签署节点不得物理回退,操作者、身份、时间、前后值、原因、附件哈希、设备/IP
P007,排班与班次调整,员工端,S05,员工确认,主管发布排班,提交/确认/处理/退回/转交（按权限）,换班/替班申请,1个工作日；高风险按制度,超时提醒→主管催办→高风险升级,仅退回到可编辑前置节点；关键财务/签署节点不得物理回退,操作者、身份、时间、前后值、原因、附件哈希、设备/IP
P007,排班与班次调整,员工端,S06,换班/替班申请,员工确认,提交/确认/处理/退回/转交（按权限）,变更审批,按流程配置；默认1个工作日,超时提醒→主管催办→高风险升级,仅退回到可编辑前置节点；关键财务/签署节点不得物理回退,操作者、身份、时间、前后值、原因、附件哈希、设备/IP
P007,排班与班次调整,员工端,S07,变更审批,换班/替班申请,提交/确认/处理/退回/转交（按权限）,考勤与餐饮/班车联动,1个工作日；高风险按制度,超时提醒→主管催办→高风险升级,仅退回到可编辑前置节点；关键财务/签署节点不得物理回退,操作者、身份、时间、前后值、原因、附件哈希、设备/IP
P007,排班与班次调整,员工端,S08,考勤与餐饮/班车联动,变更审批,提交/确认/处理/退回/转交（按权限）,日结,按流程配置；默认1个工作日,超时提醒→主管催办→高风险升级,仅退回到可编辑前置节点；关键财务/签署节点不得物理回退,操作者、身份、时间、前后值、原因、附件哈希、设备/IP
P007,排班与班次调整,员工端,S09,日结,考勤与餐饮/班车联动,提交/确认/处理/退回/转交（按权限）,已关闭,按流程配置；默认1个工作日,超时提醒→主管催办→高风险升级,仅退回到可编辑前置节点；关键财务/签署节点不得物理回退,操作者、身份、时间、前后值、原因、附件哈希、设备/IP
P008,请假与考勤,员工端,S01,请假申请,流程触发/发起,提交/确认/处理/退回/转交（按权限）,假期额度预占,按流程配置；默认1个工作日,超时提醒→主管催办→高风险升级,仅退回到可编辑前置节点；关键财务/签署节点不得物理回退,操作者、身份、时间、前后值、原因、附件哈希、设备/IP
P008,请假与考勤,员工端,S02,假期额度预占,请假申请,提交/确认/处理/退回/转交（按权限）,工作交接与代理,按流程配置；默认1个工作日,超时提醒→主管催办→高风险升级,仅退回到可编辑前置节点；关键财务/签署节点不得物理回退,操作者、身份、时间、前后值、原因、附件哈希、设备/IP
P008,请假与考勤,员工端,S03,工作交接与代理,假期额度预占,提交/确认/处理/退回/转交（按权限）,审批,按流程配置；默认1个工作日,超时提醒→主管催办→高风险升级,仅退回到可编辑前置节点；关键财务/签署节点不得物理回退,操作者、身份、时间、前后值、原因、附件哈希、设备/IP
P008,请假与考勤,员工端,S04,审批,工作交接与代理,提交/确认/处理/退回/转交（按权限）,预占转扣减/驳回释放,1个工作日；高风险按制度,超时提醒→主管催办→高风险升级,仅退回到可编辑前置节点；关键财务/签署节点不得物理回退,操作者、身份、时间、前后值、原因、附件哈希、设备/IP
P008,请假与考勤,员工端,S05,预占转扣减/驳回释放,审批,提交/确认/处理/退回/转交（按权限）,排班与考勤标记,按流程配置；默认1个工作日,超时提醒→主管催办→高风险升级,仅退回到可编辑前置节点；关键财务/签署节点不得物理回退,操作者、身份、时间、前后值、原因、附件哈希、设备/IP
P008,请假与考勤,员工端,S06,排班与考勤标记,预占转扣减/驳回释放,提交/确认/处理/退回/转交（按权限）,实际休假,按流程配置；默认1个工作日,超时提醒→主管催办→高风险升级,仅退回到可编辑前置节点；关键财务/签署节点不得物理回退,操作者、身份、时间、前后值、原因、附件哈希、设备/IP
P008,请假与考勤,员工端,S07,实际休假,排班与考勤标记,提交/确认/处理/退回/转交（按权限）,销假/提前返岗/变更,按流程配置；默认1个工作日,超时提醒→主管催办→高风险升级,仅退回到可编辑前置节点；关键财务/签署节点不得物理回退,操作者、身份、时间、前后值、原因、附件哈希、设备/IP
P008,请假与考勤,员工端,S08,销假/提前返岗/变更,实际休假,提交/确认/处理/退回/转交（按权限）,差额账本调整,按流程配置；默认1个工作日,超时提醒→主管催办→高风险升级,仅退回到可编辑前置节点；关键财务/签署节点不得物理回退,操作者、身份、时间、前后值、原因、附件哈希、设备/IP
P008,请假与考勤,员工端,S09,差额账本调整,销假/提前返岗/变更,提交/确认/处理/退回/转交（按权限）,考勤日结与归档,按流程配置；默认1个工作日,超时提醒→主管催办→高风险升级,仅退回到可编辑前置节点；关键财务/签署节点不得物理回退,操作者、身份、时间、前后值、原因、附件哈希、设备/IP
P008,请假与考勤,员工端,S10,考勤日结与归档,差额账本调整,提交/确认/处理/退回/转交（按权限）,已关闭,事项关闭后2个工作日,超时提醒→主管催办→高风险升级,仅退回到可编辑前置节点；关键财务/签署节点不得物理回退,操作者、身份、时间、前后值、原因、附件哈希、设备/IP
P009,加班与调休,员工端,S01,事前申请/紧急事实登记,流程触发/发起,提交/确认/处理/退回/转交（按权限）,必要性与任务校验,按流程配置；默认1个工作日,超时提醒→主管催办→高风险升级,仅退回到可编辑前置节点；关键财务/签署节点不得物理回退,操作者、身份、时间、前后值、原因、附件哈希、设备/IP
P009,加班与调休,员工端,S02,必要性与任务校验,事前申请/紧急事实登记,提交/确认/处理/退回/转交（按权限）,主管审批,按流程配置；默认1个工作日,超时提醒→主管催办→高风险升级,仅退回到可编辑前置节点；关键财务/签署节点不得物理回退,操作者、身份、时间、前后值、原因、附件哈希、设备/IP
P009,加班与调休,员工端,S03,主管审批,必要性与任务校验,提交/确认/处理/退回/转交（按权限）,实际考勤与劳动事实,1个工作日；高风险按制度,超时提醒→主管催办→高风险升级,仅退回到可编辑前置节点；关键财务/签署节点不得物理回退,操作者、身份、时间、前后值、原因、附件哈希、设备/IP
P009,加班与调休,员工端,S04,实际考勤与劳动事实,主管审批,提交/确认/处理/退回/转交（按权限）,成果验收,按流程配置；默认1个工作日,超时提醒→主管催办→高风险升级,仅退回到可编辑前置节点；关键财务/签署节点不得物理回退,操作者、身份、时间、前后值、原因、附件哈希、设备/IP
P009,加班与调休,员工端,S05,成果验收,实际考勤与劳动事实,提交/确认/处理/退回/转交（按权限）,人事复核,1个工作日；高风险按制度,超时提醒→主管催办→高风险升级,仅退回到可编辑前置节点；关键财务/签署节点不得物理回退,操作者、身份、时间、前后值、原因、附件哈希、设备/IP
P009,加班与调休,员工端,S06,人事复核,成果验收,提交/确认/处理/退回/转交（按权限）,法定工资/调休方案,1个工作日；高风险按制度,超时提醒→主管催办→高风险升级,仅退回到可编辑前置节点；关键财务/签署节点不得物理回退,操作者、身份、时间、前后值、原因、附件哈希、设备/IP
P009,加班与调休,员工端,S07,法定工资/调休方案,人事复核,提交/确认/处理/退回/转交（按权限）,薪酬回执,按流程配置；默认1个工作日,超时提醒→主管催办→高风险升级,仅退回到可编辑前置节点；关键财务/签署节点不得物理回退,操作者、身份、时间、前后值、原因、附件哈希、设备/IP
P009,加班与调休,员工端,S08,薪酬回执,法定工资/调休方案,提交/确认/处理/退回/转交（按权限）,归档,按流程配置；默认1个工作日,超时提醒→主管催办→高风险升级,仅退回到可编辑前置节点；关键财务/签署节点不得物理回退,操作者、身份、时间、前后值、原因、附件哈希、设备/IP
P009,加班与调休,员工端,S09,归档,薪酬回执,提交/确认/处理/退回/转交（按权限）,已关闭,事项关闭后2个工作日,超时提醒→主管催办→高风险升级,仅退回到可编辑前置节点；关键财务/签署节点不得物理回退,操作者、身份、时间、前后值、原因、附件哈希、设备/IP
P010,员工学习、考试与资格,员工端,S01,课程/制度版本发布,流程触发/发起,提交/确认/处理/退回/转交（按权限）,按岗位风险指派,按流程配置；默认1个工作日,超时提醒→主管催办→高风险升级,仅退回到可编辑前置节点；关键财务/签署节点不得物理回退,操作者、身份、时间、前后值、原因、附件哈希、设备/IP
P010,员工学习、考试与资格,员工端,S02,按岗位风险指派,课程/制度版本发布,提交/确认/处理/退回/转交（按权限）,员工学习,立即响应；L3/L4 30分钟内升级,超时提醒→主管催办→高风险升级,仅退回到可编辑前置节点；关键财务/签署节点不得物理回退,操作者、身份、时间、前后值、原因、附件哈希、设备/IP
P010,员工学习、考试与资格,员工端,S03,员工学习,按岗位风险指派,提交/确认/处理/退回/转交（按权限）,1000分制考试,按流程配置；默认1个工作日,超时提醒→主管催办→高风险升级,仅退回到可编辑前置节点；关键财务/签署节点不得物理回退,操作者、身份、时间、前后值、原因、附件哈希、设备/IP
P010,员工学习、考试与资格,员工端,S04,1000分制考试,员工学习,提交/确认/处理/退回/转交（按权限）,线下实操,按流程配置；默认1个工作日,超时提醒→主管催办→高风险升级,仅退回到可编辑前置节点；关键财务/签署节点不得物理回退,操作者、身份、时间、前后值、原因、附件哈希、设备/IP
P010,员工学习、考试与资格,员工端,S05,线下实操,1000分制考试,提交/确认/处理/退回/转交（按权限）,主管/专业人员认证,按流程配置；默认1个工作日,超时提醒→主管催办→高风险升级,仅退回到可编辑前置节点；关键财务/签署节点不得物理回退,操作者、身份、时间、前后值、原因、附件哈希、设备/IP
P010,员工学习、考试与资格,员工端,S06,主管/专业人员认证,线下实操,提交/确认/处理/退回/转交（按权限）,资格生效,按流程配置；默认1个工作日,超时提醒→主管催办→高风险升级,仅退回到可编辑前置节点；关键财务/签署节点不得物理回退,操作者、身份、时间、前后值、原因、附件哈希、设备/IP
P010,员工学习、考试与资格,员工端,S07,资格生效,主管/专业人员认证,提交/确认/处理/退回/转交（按权限）,岗位权限联动,按流程配置；默认1个工作日,超时提醒→主管催办→高风险升级,仅退回到可编辑前置节点；关键财务/签署节点不得物理回退,操作者、身份、时间、前后值、原因、附件哈希、设备/IP
P010,员工学习、考试与资格,员工端,S08,岗位权限联动,资格生效,提交/确认/处理/退回/转交（按权限）,到期复训/复证,按流程配置；默认1个工作日,超时提醒→主管催办→高风险升级,仅退回到可编辑前置节点；关键财务/签署节点不得物理回退,操作者、身份、时间、前后值、原因、附件哈希、设备/IP
