源数据库字段,常用中文名,源类型,目标类型,敏感级别,涉及流程数,必填占比,目标分布,校验规则摘要,脱敏规则,审计要求
actual_end_at,实际结束时间,日期时间,timestamptz,P1-内部,126,0.0,workflow.wf_orchestration_instance.actual_end_at[TYPED_COLUMN]×7；collaboration.meeting.actual_end_at[TYPED_COLUMN]×3；collaboration.notice.actual_end_at[TYPED_COLUMN]×2；devops.release.actual_end_at[TYPED_COLUMN]×2；administration.large_event.actual_end_at[TYPED_COLUMN]×1；administration.official_document.actual_end_at[TYPED_COLUMN]×1；archive.archive_package.actual_end_at[TYPED_COLUMN]×1；archive.borrow_request.actual_end_at[TYPED_COLUMN]×1；archive.disposal_appraisal.actual_end_at[TYPED_COLUMN]×1；asset.asset_disposal.actual_end_at[TYPED_COLUMN]×1；asset.asset_use_transaction.actual_end_at[TYPED_COLUMN]×1；asset.stock_in.actual_end_at[TYPED_COLUMN]×1；asset.stocktake.actual_end_at[TYPED_COLUMN]×1；attendance.leave_request.actual_end_at[TYPED_COLUMN]×1；attendance.overtime_request.actual_end_at[TYPED_COLUMN]×1；attendance.shift_change_request.actual_end_at[TYPED_COLUMN]×1；audit.data_export_request.actual_end_at[TYPED_COLUMN]×1；audit.data_quality_issue.actual_end_at[TYPED_COLUMN]×1；brand.authorization.actual_end_at[TYPED_COLUMN]×1；brand.infringement_case.actual_end_at[TYPED_COLUMN]×1；brand.material_review.actual_end_at[TYPED_COLUMN]×1；catering.food_safety_incident.actual_end_at[TYPED_COLUMN]×1；catering.group_meal_order.actual_end_at[TYPED_COLUMN]×1；catering.ingredient_acceptance.actual_end_at[TYPED_COLUMN]×1；catering.meal_card_settlement.actual_end_at[TYPED_COLUMN]×1；cleaning.cleaning_task.actual_end_at[TYPED_COLUMN]×1；cleaning.event_support.actual_end_at[TYPED_COLUMN]×1；cleaning.pollution_incident.actual_end_at[TYPED_COLUMN]×1；collaboration.executive_directive.actual_end_at[TYPED_COLUMN]×1；collaboration.major_matter.actual_end_at[TYPED_COLUMN]×1；content.change_request.actual_end_at[TYPED_COLUMN]×1；content.material_request.actual_end_at[TYPED_COLUMN]×1；content.shooting_task.actual_end_at[TYPED_COLUMN]×1；costume.damage_report.actual_end_at[TYPED_COLUMN]×1；costume.inventory_check.actual_end_at[TYPED_COLUMN]×1；costume.session_preparation.actual_end_at[TYPED_COLUMN]×1；crm.channel_partner.actual_end_at[TYPED_COLUMN]×1；crm.opportunity.actual_end_at[TYPED_COLUMN]×1；devops.defect.actual_end_at[TYPED_COLUMN]×1；devops.requirement.actual_end_at[TYPED_COLUMN]×1；document.signature_envelope.actual_end_at[TYPED_COLUMN]×1；dormitory.stay_record.actual_end_at[TYPED_COLUMN]×1；drone.flight_cancellation.actual_end_at[TYPED_COLUMN]×1；drone.flight_incident.actual_end_at[TYPED_COLUMN]×1；drone.flight_task.actual_end_at[TYPED_COLUMN]×1；ecommerce.ota_order.actual_end_at[TYPED_COLUMN]×1；ecommerce.product_listing.actual_end_at[TYPED_COLUMN]×1；ecommerce.refund_order.actual_end_at[TYPED_COLUMN]×1；ecommerce.review_complaint.actual_end_at[TYPED_COLUMN]×1；education.course_product.actual_end_at[TYPED_COLUMN]×1；education.study_tour_delivery.actual_end_at[TYPED_COLUMN]×1；education.teacher_schedule.actual_end_at[TYPED_COLUMN]×1；entertainment.equipment_fault.actual_end_at[TYPED_COLUMN]×1；entertainment.program.actual_end_at[TYPED_COLUMN]×1；entertainment.show_session.actual_end_at[TYPED_COLUMN]×1；entertainment.staff_shortage.actual_end_at[TYPED_COLUMN]×1；entertainment.suspension_advice.actual_end_at[TYPED_COLUMN]×1；entertainment.suspension_decision.actual_end_at[TYPED_COLUMN]×1；entertainment.tech_support_task.actual_end_at[TYPED_COLUMN]×1；finance.budget_request.actual_end_at[TYPED_COLUMN]×1；finance.expense_claim.actual_end_at[TYPED_COLUMN]×1；finance.loan_request.actual_end_at[TYPED_COLUMN]×1；finance.reconciliation_task.actual_end_at[TYPED_COLUMN]×1；fleet.vehicle_dispatch.actual_end_at[TYPED_COLUMN]×1；fleet.vehicle_incident.actual_end_at[TYPED_COLUMN]×1；hr.employee_offboarding.actual_end_at[TYPED_COLUMN]×1；hr.employee_onboarding.actual_end_at[TYPED_COLUMN]×1；hr.employee_profile_change.actual_end_at[TYPED_COLUMN]×1；hr.employee_transfer.actual_end_at[TYPED_COLUMN]×1；hr.promotion_request.actual_end_at[TYPED_COLUMN]×1；iam.account_execution.actual_end_at[TYPED_COLUMN]×1；iam.login_session.actual_end_at[TYPED_COLUMN]×1；iam.permission_request.actual_end_at[TYPED_COLUMN]×1；integration.data_import_job.actual_end_at[TYPED_COLUMN]×1；itops.event_support.actual_end_at[TYPED_COLUMN]×1；itops.network_change.actual_end_at[TYPED_COLUMN]×1；itops.network_incident.actual_end_at[TYPED_COLUMN]×1；itops.recovery_drill.actual_end_at[TYPED_COLUMN]×1；itops.service_request.actual_end_at[TYPED_COLUMN]×1；learning.learning_assignment.actual_end_at[TYPED_COLUMN]×1；maintenance.repair_order.actual_end_at[TYPED_COLUMN]×1；marketing.campaign.actual_end_at[TYPED_COLUMN]×1；media.ad_campaign.actual_end_at[TYPED_COLUMN]×1；media.live_session.actual_end_at[TYPED_COLUMN]×1；media.public_opinion_case.actual_end_at[TYPED_COLUMN]×1；media.short_video_release.actual_end_at[TYPED_COLUMN]×1；merchant.merchant_admission.actual_end_at[TYPED_COLUMN]×1；merchant.merchant_exit.actual_end_at[TYPED_COLUMN]×1；merchant.merchant_inspection.actual_end_at[TYPED_COLUMN]×1；performance.performance_cycle.actual_end_at[TYPED_COLUMN]×1；planning.change_request.actual_end_at[TYPED_COLUMN]×1；planning.event_handover.actual_end_at[TYPED_COLUMN]×1；planning.project.actual_end_at[TYPED_COLUMN]×1；procurement.emergency_purchase.actual_end_at[TYPED_COLUMN]×1；procurement.purchase_request.actual_end_at[TYPED_COLUMN]×1；procurement.purchase_return.actual_end_at[TYPED_COLUMN]×1；reception.change_request.actual_end_at[TYPED_COLUMN]×1；reception.complaint.actual_end_at[TYPED_COLUMN]×1；reception.guide_execution.actual_end_at[TYPED_COLUMN]×1；reception.reception_order.actual_end_at[TYPED_COLUMN]×1；reward.discipline_case.actual_end_at[TYPED_COLUMN]×1；reward.point_transaction.actual_end_at[TYPED_COLUMN]×1；reward.reward_case.actual_end_at[TYPED_COLUMN]×1；sales.customer_handover.actual_end_at[TYPED_COLUMN]×1；sales.deal.actual_end_at[TYPED_COLUMN]×1；sales.lead.actual_end_at[TYPED_COLUMN]×1；sales.secondary_sale.actual_end_at[TYPED_COLUMN]×1；security.crowd_alert.actual_end_at[TYPED_COLUMN]×1；security.event_security_plan.actual_end_at[TYPED_COLUMN]×1；security.patrol_task.actual_end_at[TYPED_COLUMN]×1；security.security_incident.actual_end_at[TYPED_COLUMN]×1；ticketing.offline_check_event.actual_end_at[TYPED_COLUMN]×1；ticketing.ticket_order.actual_end_at[TYPED_COLUMN]×1；ticketing.ticket_refund_change.actual_end_at[TYPED_COLUMN]×1；welfare.care_case.actual_end_at[TYPED_COLUMN]×1；workflow.generic_request.actual_end_at[TYPED_COLUMN]×1,不得早于开始时间,,记录新增与修改
actual_metrics,实际效果指标,子表,jsonb,P1-内部,4,0.0,administration.large_event_item.item_value_json[CHILD_ITEM]×6；itops.event_support_item.item_value_json[CHILD_ITEM]×6；marketing.campaign_item.item_value_json[CHILD_ITEM]×6；planning.event_handover_item.item_value_json[CHILD_ITEM]×6,,,记录新增与修改
actual_start_at,实际开始时间,日期时间,timestamptz,P1-内部,126,1.0,workflow.wf_orchestration_instance.actual_start_at[TYPED_COLUMN]×7；collaboration.meeting.actual_start_at[TYPED_COLUMN]×3；collaboration.notice.actual_start_at[TYPED_COLUMN]×2；devops.release.actual_start_at[TYPED_COLUMN]×2；administration.large_event.actual_start_at[TYPED_COLUMN]×1；administration.official_document.actual_start_at[TYPED_COLUMN]×1；archive.archive_package.actual_start_at[TYPED_COLUMN]×1；archive.borrow_request.actual_start_at[TYPED_COLUMN]×1；archive.disposal_appraisal.actual_start_at[TYPED_COLUMN]×1；asset.asset_disposal.actual_start_at[TYPED_COLUMN]×1；asset.asset_use_transaction.actual_start_at[TYPED_COLUMN]×1；asset.stock_in.actual_start_at[TYPED_COLUMN]×1；asset.stocktake.actual_start_at[TYPED_COLUMN]×1；attendance.leave_request.actual_start_at[TYPED_COLUMN]×1；attendance.overtime_request.actual_start_at[TYPED_COLUMN]×1；attendance.shift_change_request.actual_start_at[TYPED_COLUMN]×1；audit.data_export_request.actual_start_at[TYPED_COLUMN]×1；audit.data_quality_issue.actual_start_at[TYPED_COLUMN]×1；brand.authorization.actual_start_at[TYPED_COLUMN]×1；brand.infringement_case.actual_start_at[TYPED_COLUMN]×1；brand.material_review.actual_start_at[TYPED_COLUMN]×1；catering.food_safety_incident.actual_start_at[TYPED_COLUMN]×1；catering.group_meal_order.actual_start_at[TYPED_COLUMN]×1；catering.ingredient_acceptance.actual_start_at[TYPED_COLUMN]×1；catering.meal_card_settlement.actual_start_at[TYPED_COLUMN]×1；cleaning.cleaning_task.actual_start_at[TYPED_COLUMN]×1；cleaning.event_support.actual_start_at[TYPED_COLUMN]×1；cleaning.pollution_incident.actual_start_at[TYPED_COLUMN]×1；collaboration.executive_directive.actual_start_at[TYPED_COLUMN]×1；collaboration.major_matter.actual_start_at[TYPED_COLUMN]×1；content.change_request.actual_start_at[TYPED_COLUMN]×1；content.material_request.actual_start_at[TYPED_COLUMN]×1；content.shooting_task.actual_start_at[TYPED_COLUMN]×1；costume.damage_report.actual_start_at[TYPED_COLUMN]×1；costume.inventory_check.actual_start_at[TYPED_COLUMN]×1；costume.session_preparation.actual_start_at[TYPED_COLUMN]×1；crm.channel_partner.actual_start_at[TYPED_COLUMN]×1；crm.opportunity.actual_start_at[TYPED_COLUMN]×1；devops.defect.actual_start_at[TYPED_COLUMN]×1；devops.requirement.actual_start_at[TYPED_COLUMN]×1；document.signature_envelope.actual_start_at[TYPED_COLUMN]×1；dormitory.stay_record.actual_start_at[TYPED_COLUMN]×1；drone.flight_cancellation.actual_start_at[TYPED_COLUMN]×1；drone.flight_incident.actual_start_at[TYPED_COLUMN]×1；drone.flight_task.actual_start_at[TYPED_COLUMN]×1；ecommerce.ota_order.actual_start_at[TYPED_COLUMN]×1；ecommerce.product_listing.actual_start_at[TYPED_COLUMN]×1；ecommerce.refund_order.actual_start_at[TYPED_COLUMN]×1；ecommerce.review_complaint.actual_start_at[TYPED_COLUMN]×1；education.course_product.actual_start_at[TYPED_COLUMN]×1；education.study_tour_delivery.actual_start_at[TYPED_COLUMN]×1；education.teacher_schedule.actual_start_at[TYPED_COLUMN]×1；entertainment.equipment_fault.actual_start_at[TYPED_COLUMN]×1；entertainment.program.actual_start_at[TYPED_COLUMN]×1；entertainment.show_session.actual_start_at[TYPED_COLUMN]×1；entertainment.staff_shortage.actual_start_at[TYPED_COLUMN]×1；entertainment.suspension_advice.actual_start_at[TYPED_COLUMN]×1；entertainment.suspension_decision.actual_start_at[TYPED_COLUMN]×1；entertainment.tech_support_task.actual_start_at[TYPED_COLUMN]×1；finance.budget_request.actual_start_at[TYPED_COLUMN]×1；finance.expense_claim.actual_start_at[TYPED_COLUMN]×1；finance.loan_request.actual_start_at[TYPED_COLUMN]×1；finance.reconciliation_task.actual_start_at[TYPED_COLUMN]×1；fleet.vehicle_dispatch.actual_start_at[TYPED_COLUMN]×1；fleet.vehicle_incident.actual_start_at[TYPED_COLUMN]×1；hr.employee_offboarding.actual_start_at[TYPED_COLUMN]×1；hr.employee_onboarding.actual_start_at[TYPED_COLUMN]×1；hr.employee_profile_change.actual_start_at[TYPED_COLUMN]×1；hr.employee_transfer.actual_start_at[TYPED_COLUMN]×1；hr.promotion_request.actual_start_at[TYPED_COLUMN]×1；iam.account_execution.actual_start_at[TYPED_COLUMN]×1；iam.login_session.actual_start_at[TYPED_COLUMN]×1；iam.permission_request.actual_start_at[TYPED_COLUMN]×1；integration.data_import_job.actual_start_at[TYPED_COLUMN]×1；itops.event_support.actual_start_at[TYPED_COLUMN]×1；itops.network_change.actual_start_at[TYPED_COLUMN]×1；itops.network_incident.actual_start_at[TYPED_COLUMN]×1；itops.recovery_drill.actual_start_at[TYPED_COLUMN]×1；itops.service_request.actual_start_at[TYPED_COLUMN]×1；learning.learning_assignment.actual_start_at[TYPED_COLUMN]×1；maintenance.repair_order.actual_start_at[TYPED_COLUMN]×1；marketing.campaign.actual_start_at[TYPED_COLUMN]×1；media.ad_campaign.actual_start_at[TYPED_COLUMN]×1；media.live_session.actual_start_at[TYPED_COLUMN]×1；media.public_opinion_case.actual_start_at[TYPED_COLUMN]×1；media.short_video_release.actual_start_at[TYPED_COLUMN]×1；merchant.merchant_admission.actual_start_at[TYPED_COLUMN]×1；merchant.merchant_exit.actual_start_at[TYPED_COLUMN]×1；merchant.merchant_inspection.actual_start_at[TYPED_COLUMN]×1；performance.performance_cycle.actual_start_at[TYPED_COLUMN]×1；planning.change_request.actual_start_at[TYPED_COLUMN]×1；planning.event_handover.actual_start_at[TYPED_COLUMN]×1；planning.project.actual_start_at[TYPED_COLUMN]×1；procurement.emergency_purchase.actual_start_at[TYPED_COLUMN]×1；procurement.purchase_request.actual_start_at[TYPED_COLUMN]×1；procurement.purchase_return.actual_start_at[TYPED_COLUMN]×1；reception.change_request.actual_start_at[TYPED_COLUMN]×1；reception.complaint.actual_start_at[TYPED_COLUMN]×1；reception.guide_execution.actual_start_at[TYPED_COLUMN]×1；reception.reception_order.actual_start_at[TYPED_COLUMN]×1；reward.discipline_case.actual_start_at[TYPED_COLUMN]×1；reward.point_transaction.actual_start_at[TYPED_COLUMN]×1；reward.reward_case.actual_start_at[TYPED_COLUMN]×1；sales.customer_handover.actual_start_at[TYPED_COLUMN]×1；sales.deal.actual_start_at[TYPED_COLUMN]×1；sales.lead.actual_start_at[TYPED_COLUMN]×1；sales.secondary_sale.actual_start_at[TYPED_COLUMN]×1；security.crowd_alert.actual_start_at[TYPED_COLUMN]×1；security.event_security_plan.actual_start_at[TYPED_COLUMN]×1；security.patrol_task.actual_start_at[TYPED_COLUMN]×1；security.security_incident.actual_start_at[TYPED_COLUMN]×1；ticketing.offline_check_event.actual_start_at[TYPED_COLUMN]×1；ticketing.ticket_order.actual_start_at[TYPED_COLUMN]×1；ticketing.ticket_refund_change.actual_start_at[TYPED_COLUMN]×1；welfare.care_case.actual_start_at[TYPED_COLUMN]×1；workflow.generic_request.actual_start_at[TYPED_COLUMN]×1,,,记录新增与修改
affected_employee_ids,影响人员,人员集合,varchar(64),P1-内部,12,1.0,workflow.wf_business_relation.relation_type[RELATION_LINK]×117,,,记录新增与修改
affected_scope,影响范围,长文本,text,P1-内部,3,0.0,entertainment.equipment_fault.affected_scope[TYPED_COLUMN]×11；itops.network_incident.affected_scope[TYPED_COLUMN]×11；maintenance.repair_order.affected_scope[TYPED_COLUMN]×11,,,记录新增与修改
after_content,变更后内容,长文本,jsonb,P1-内部,126,1.0,workflow.wf_submission_value.value_json[DYNAMIC_CONFIG]×126,,,记录新增与修改
after_snapshot,变更后内容,JSON,jsonb,P1-内部,22,0.0,devops.release_item.item_value_json[CHILD_ITEM]×2；administration.large_event_item.item_value_json[CHILD_ITEM]×1；asset.stocktake_item.item_value_json[CHILD_ITEM]×1；attendance.leave_request_item.item_value_json[CHILD_ITEM]×1；attendance.shift_change_request_item.item_value_json[CHILD_ITEM]×1；catering.meal_card_settlement_item.item_value_json[CHILD_ITEM]×1；content.change_request_item.item_value_json[CHILD_ITEM]×1；education.teacher_schedule_item.item_value_json[CHILD_ITEM]×1；entertainment.show_session_item.item_value_json[CHILD_ITEM]×1；entertainment.staff_shortage_item.item_value_json[CHILD_ITEM]×1；entertainment.suspension_decision_item.item_value_json[CHILD_ITEM]×1；finance.budget_request_item.item_value_json[CHILD_ITEM]×1；finance.reconciliation_task_item.item_value_json[CHILD_ITEM]×1；hr.employee_profile_change_item.item_value_json[CHILD_ITEM]×1；itops.network_change_item.item_value_json[CHILD_ITEM]×1；media.ad_campaign_item.item_value_json[CHILD_ITEM]×1；planning.change_request_item.item_value_json[CHILD_ITEM]×1；procurement.purchase_return_item.item_value_json[CHILD_ITEM]×1；reception.change_request_item.item_value_json[CHILD_ITEM]×1；reward.point_transaction_item.item_value_json[CHILD_ITEM]×1；ticketing.ticket_refund_change_item.item_value_json[CHILD_ITEM]×1,,,记录新增与修改
alert_receivers,告警接收人,人员/值班组集合,jsonb,P1-内部,126,1.0,workflow.wf_sla_policy.escalation_rules.alert_receivers[COMMON_SERVICE]×126,,,记录新增与修改
alert_thresholds,告警阈值,JSON,jsonb,P1-内部,126,1.0,workflow.wf_sla_policy.remind_rules.alert_thresholds[COMMON_SERVICE]×126,,,记录新增与修改
allergy_taboo,过敏/禁忌信息,长文本,text,P3-高度敏感,4,0.0,catering.meal_card_settlement.allergy_taboo[TYPED_COLUMN]×12；catering.food_safety_incident.allergy_taboo[TYPED_COLUMN]×11；catering.group_meal_order.allergy_taboo[TYPED_COLUMN]×11；catering.ingredient_acceptance.allergy_taboo[TYPED_COLUMN]×11,,最小必要展示,记录新增与修改
api_auth_type,接口认证方式,枚举,varchar(32),P1-内部,126,1.0,integration.endpoint.auth_type[COMMON_SERVICE]×126,,,记录新增与修改
appeal_request,申诉诉求,长文本,jsonb,P1-内部,126,1.0,workflow.wf_submission_value.value_json[DYNAMIC_CONFIG]×126,,,记录新增与修改
appeal_status,申诉/复核状态,枚举,varchar(64),P1-内部,2,0.0,learning.learning_assignment.appeal_status[TYPED_COLUMN]×6；performance.performance_cycle.appeal_status[TYPED_COLUMN]×6,,,记录新增与修改
applicable_org_scope,适用组织范围,组织集合,jsonb,P1-内部,126,1.0,workflow.wf_submission_value.value_json[DYNAMIC_CONFIG]×126,,,记录新增与修改
approval_conditions,附加条件,长文本,jsonb,P1-内部,126,0.0,workflow.wf_rule.rule_expr.approval_conditions[COMMON_SERVICE]×126,附条件同意时必填,,记录新增与修改
approved_amount,核定金额,金额,"numeric(18,2)",P1-内部,4,0.0,finance.budget_request.approved_amount[TYPED_COLUMN]×12；finance.reconciliation_task.approved_amount[TYPED_COLUMN]×12；finance.expense_claim.approved_amount[TYPED_COLUMN]×11；finance.loan_request.approved_amount[TYPED_COLUMN]×11,不得小于0,,记录新增与修改
archive_category,档案类别,枚举,varchar(64),P1-内部,3,1.0,archive.archive_package.archive_category[TYPED_COLUMN]×17；archive.borrow_request.archive_category[TYPED_COLUMN]×17；archive.disposal_appraisal.archive_category[TYPED_COLUMN]×17,,,记录新增与修改
