数据库,Schema,表名,表中文名,表类型,说明,关联流程,分区策略,保留策略,写入来源,不可变,字段数
sjg_audit,audit,data_change_log,数据变更日志,日志表,数据变更日志；只增不改，禁止业务服务直接UPDATE/DELETE,,按occurred_at月分区,在线2年，低成本归档10年,审计SDK/CDC/Outbox,是,9
sjg_oms,audit,data_export_request,敏感导出申请主表,主表,敏感导出申请主表,P019,不分区,按法规与制度,业务服务,否,35
sjg_oms,audit,data_export_request_item,敏感导出申请明细项,子表,按field_code承载：tech_logs_reports,P019,不分区,与主表一致,业务服务,否,21
sjg_oms,audit,data_quality_issue,数据质量问题主表,主表,数据质量问题主表,P020,不分区,按法规与制度,业务服务,否,37
sjg_oms,audit,data_quality_issue_item,数据质量问题明细项,子表,按field_code承载：tech_logs_reports,P020,不分区,与主表一致,业务服务,否,21
sjg_audit,audit,operation_log,操作审计日志,日志表,操作审计日志；只增不改，禁止业务服务直接UPDATE/DELETE,,按occurred_at月分区,在线2年，低成本归档10年,审计SDK/CDC/Outbox,是,9
sjg_audit,audit,rule_execution_log,规则执行日志,日志表,规则执行日志；只增不改，禁止业务服务直接UPDATE/DELETE,,按occurred_at月分区,在线2年，低成本归档10年,审计SDK/CDC/Outbox,是,9
sjg_audit,audit,security_event,安全事件日志,日志表,安全事件日志；只增不改，禁止业务服务直接UPDATE/DELETE,,按occurred_at月分区,在线2年，低成本归档10年,审计SDK/CDC/Outbox,是,9
sjg_oms,brand,authorization,品牌授权主表,主表,承载品牌授权的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P109,不分区,按法规与制度,业务服务,否,36
sjg_oms,brand,authorization_item,品牌授权明细项,子表,按field_code承载：media_metrics、publish_channels,P109,不分区,与主表一致,业务服务,否,21
sjg_oms,brand,infringement_case,品牌侵权处理主表,主表,承载侵权处理的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P111,不分区,按法规与制度,业务服务,否,37
sjg_oms,brand,infringement_case_item,品牌侵权处理明细项,子表,按field_code承载：media_metrics、publish_channels,P111,不分区,与主表一致,业务服务,否,21
sjg_oms,brand,material_review,品牌物料审核主表,主表,承载物料审核的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P110,不分区,按法规与制度,业务服务,否,35
sjg_oms,brand,material_review_item,品牌物料审核明细项,子表,按field_code承载：media_metrics、publish_channels,P110,不分区,与主表一致,业务服务,否,21
sjg_oms,catering,food_safety_incident,食品安全事件主表,主表,承载食品安全事件的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P060,不分区,按法规与制度,业务服务,否,37
sjg_oms,catering,food_safety_incident_item,食品安全事件明细项,子表,按field_code承载：food_inspection、ingredient_batches、menu_items,P060,不分区,与主表一致,业务服务,否,21
sjg_oms,catering,group_meal_order,团餐订单主表,主表,承载团餐交付的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P058,不分区,按法规与制度,业务服务,否,37
sjg_oms,catering,group_meal_order_item,团餐订单明细项,子表,按field_code承载：food_inspection、ingredient_batches、menu_items,P058,不分区,与主表一致,业务服务,否,21
sjg_oms,catering,ingredient_acceptance,食材验收主表,主表,承载食材验收的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P059,不分区,按法规与制度,业务服务,否,37
sjg_oms,catering,ingredient_acceptance_item,食材验收明细项,子表,按field_code承载：food_inspection、ingredient_batches、menu_items,P059,不分区,与主表一致,业务服务,否,21
sjg_oms,catering,meal_card_settlement,餐卡结算主表,主表,承载餐卡结算的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P061,不分区,按法规与制度,业务服务,否,41
sjg_oms,catering,meal_card_settlement_item,餐卡结算明细项,子表,按field_code承载：after_snapshot、before_snapshot、food_inspection、ingredient_batches、menu_items,P061,不分区,与主表一致,业务服务,否,21
sjg_oms,cleaning,cleaning_task,清洁任务主表,主表,承载日常清洁的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P066,不分区,按法规与制度,业务服务,否,38
sjg_oms,cleaning,cleaning_task_item,清洁任务明细项,子表,按field_code承载：consumables_used,P066,不分区,与主表一致,业务服务,否,21
sjg_oms,cleaning,event_support,环卫活动保障主表,主表,承载活动保障的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P068,不分区,按法规与制度,业务服务,否,38
sjg_oms,cleaning,event_support_item,环卫活动保障明细项,子表,按field_code承载：consumables_used,P068,不分区,与主表一致,业务服务,否,21
sjg_oms,cleaning,pollution_incident,污染应急事件主表,主表,承载污染应急的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P067,不分区,按法规与制度,业务服务,否,38
sjg_oms,cleaning,pollution_incident_item,污染应急事件明细项,子表,按field_code承载：consumables_used,P067,不分区,与主表一致,业务服务,否,21
sjg_oms,collaboration,executive_directive,总裁指令主表,主表,承载总裁指令闭环的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P022,不分区,按法规与制度,业务服务,否,36
sjg_oms,collaboration,executive_directive_item,总裁指令明细项,子表,按field_code承载：action_items、recipient_scope,P022,不分区,与主表一致,业务服务,否,21
sjg_oms,collaboration,major_matter,重大事项主表,主表,承载重大事项升级的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P023,不分区,按法规与制度,业务服务,否,36
sjg_oms,collaboration,meeting,会议主表,主表,承载会议与行动项、经营会议闭环、会议行动的稳定业务事实；流程动作、动态字段和附件分别落公共子表,"P006,P021,P048",不分区,按法规与制度,业务服务,否,38
sjg_oms,collaboration,meeting_item,会议明细项,子表,按field_code承载：action_items、recipient_scope,"P006,P021,P048",不分区,与主表一致,业务服务,否,21
sjg_oms,collaboration,notice,制度通知主表,主表,承载制度、通知与执行回执、通知执行的稳定业务事实；流程动作、动态字段和附件分别落公共子表,"P005,P046",不分区,按法规与制度,业务服务,否,37
sjg_oms,collaboration,notice_item,制度通知明细项,子表,按field_code承载：action_items、recipient_scope,"P005,P046",不分区,与主表一致,业务服务,否,21
sjg_oms,content,change_request,内容返工变更主表,主表,承载返工变更的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P097,不分区,按法规与制度,业务服务,否,39
sjg_oms,content,change_request_item,内容返工变更明细项,子表,按field_code承载：after_snapshot、before_snapshot、media_metrics、publish_channels,P097,不分区,与主表一致,业务服务,否,21
sjg_oms,content,material_request,宣传物料制作主表,主表,承载宣传物料制作的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P095,不分区,按法规与制度,业务服务,否,37
sjg_oms,content,material_request_item,宣传物料制作明细项,子表,按field_code承载：media_metrics、publish_channels,P095,不分区,与主表一致,业务服务,否,21
sjg_oms,content,shooting_task,拍摄任务主表,主表,承载拍摄任务的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P096,不分区,按法规与制度,业务服务,否,35
sjg_oms,content,shooting_task_item,拍摄任务明细项,子表,按field_code承载：media_metrics、publish_channels,P096,不分区,与主表一致,业务服务,否,21
sjg_oms,core,dictionary,字典主表,配置表,字典主表,,不分区,按法规与制度,业务服务,否,12
sjg_oms,core,dictionary_item,字典项表,子表,字典项表,,不分区,按法规与制度,业务服务,否,14
sjg_oms,core,idempotency_record,幂等记录表,技术表,幂等记录表,,按expire_at月分区,默认90天,业务服务,否,14
sjg_oms,core,inbox_event,消费幂等箱,事件表,消费幂等箱,,按processed_at月分区,在线180天,业务服务,否,12
sjg_oms,core,outbox_event,事务事件箱,事件表,事务事件箱,,按created_at月分区,在线180天，归档5年,业务服务,否,17
sjg_oms,core,sequence_rule,单号规则表,配置表,单号规则表,,不分区,按法规与制度,业务服务,否,13
sjg_oms,core,tenant,租户主表,主数据表,多租户隔离根表；即使当前仅一个公司，也保留租户边界,,不分区,按法规与制度,业务服务,否,7
sjg_oms,costume,damage_report,服化道报损主表,主表,承载损坏报损的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P077,不分区,按法规与制度,业务服务,否,40
sjg_oms,costume,inventory_check,服化道盘点主表,主表,承载盘点的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P078,不分区,按法规与制度,业务服务,否,40
sjg_oms,costume,session_preparation,服化道场次准备主表,主表,承载场次准备的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P076,不分区,按法规与制度,业务服务,否,38
sjg_oms,crm,channel_partner,渠道伙伴主表,主表,承载渠道准入的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P042,不分区,按法规与制度,业务服务,否,39
sjg_oms,crm,channel_partner_item,渠道伙伴明细项,子表,按field_code承载：contract_order_no,P042,不分区,与主表一致,业务服务,否,21
sjg_oms,crm,opportunity,商机主表,主表,承载商机推进的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P040,不分区,按法规与制度,业务服务,否,38
sjg_oms,crm,opportunity_item,商机明细项,子表,按field_code承载：contract_order_no,P040,不分区,与主表一致,业务服务,否,21
sjg_oms,devops,defect,缺陷主表,主表,承载缺陷修复的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P093,不分区,按法规与制度,业务服务,否,37
sjg_oms,devops,defect_item,缺陷明细项,子表,按field_code承载：tech_logs_reports,P093,不分区,与主表一致,业务服务,否,21
sjg_oms,devops,release,生产发布主表,主表,承载生产发布、版本发布的稳定业务事实；流程动作、动态字段和附件分别落公共子表,"P089,P094",不分区,按法规与制度,业务服务,否,42
sjg_oms,devops,release_item,生产发布明细项,子表,按field_code承载：after_snapshot、before_snapshot、tech_logs_reports,"P089,P094",不分区,与主表一致,业务服务,否,21
sjg_oms,devops,requirement,研发需求主表,主表,承载需求开发的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P092,不分区,按法规与制度,业务服务,否,37
sjg_oms,devops,requirement_item,研发需求明细项,子表,按field_code承载：tech_logs_reports,P092,不分区,与主表一致,业务服务,否,21
sjg_oms,document,attachment_link,附件关联表,关系表,附件关联表,,不分区,按法规与制度,业务服务,否,15
sjg_oms,document,file_object,文件对象表,文件索引表,文件对象表,,不分区,按法规与制度,业务服务,否,18
sjg_oms,document,signature_envelope,电子签署信封主表,主表,电子签署信封主表,P017,不分区,按法规与制度,业务服务,否,26
sjg_oms,document,signature_party,签署方表,子表,签署方表,,不分区,按法规与制度,业务服务,否,17
sjg_oms,dormitory,stay_record,宿舍入住退宿主表,主表,承载宿舍入住退宿的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P056,不分区,按法规与制度,业务服务,否,40
sjg_oms,drone,flight_cancellation,飞行取消主表,主表,承载任务取消的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P080,不分区,按法规与制度,业务服务,否,38
sjg_oms,drone,flight_cancellation_item,飞行取消明细项,子表,按field_code承载：flight_log、weather_condition,P080,不分区,与主表一致,业务服务,否,21
sjg_oms,drone,flight_incident,飞行事故主表,主表,承载飞行事故的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P081,不分区,按法规与制度,业务服务,否,38
sjg_oms,drone,flight_incident_item,飞行事故明细项,子表,按field_code承载：flight_log、weather_condition,P081,不分区,与主表一致,业务服务,否,21
sjg_oms,drone,flight_task,无人机飞行任务主表,主表,承载飞行任务的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P079,不分区,按法规与制度,业务服务,否,36
sjg_oms,drone,flight_task_item,无人机飞行任务明细项,子表,按field_code承载：flight_log、weather_condition,P079,不分区,与主表一致,业务服务,否,21
sjg_oms,ecommerce,ota_order,OTA订单主表,主表,承载OTA订单的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P102,不分区,按法规与制度,业务服务,否,37
sjg_oms,ecommerce,ota_order_item,OTA订单明细项,子表,按field_code承载：media_metrics、publish_channels,P102,不分区,与主表一致,业务服务,否,21
sjg_oms,ecommerce,product_listing,OTA产品上架主表,主表,承载产品上架的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P101,不分区,按法规与制度,业务服务,否,37
sjg_oms,ecommerce,product_listing_item,OTA产品上架明细项,子表,按field_code承载：media_metrics、publish_channels,P101,不分区,与主表一致,业务服务,否,21
sjg_oms,ecommerce,refund_order,电商退款主表,主表,承载退款的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P103,不分区,按法规与制度,业务服务,否,37
sjg_oms,ecommerce,refund_order_item,电商退款明细项,子表,按field_code承载：media_metrics、publish_channels,P103,不分区,与主表一致,业务服务,否,21
sjg_oms,ecommerce,review_complaint,评价客诉主表,主表,承载评价客诉的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P104,不分区,按法规与制度,业务服务,否,37
sjg_oms,ecommerce,review_complaint_item,评价客诉明细项,子表,按field_code承载：media_metrics、publish_channels,P104,不分区,与主表一致,业务服务,否,21
sjg_oms,education,course_product,课程产品主表,主表,承载课程产品上线的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P043,不分区,按法规与制度,业务服务,否,38
sjg_oms,education,study_tour_delivery,研学团队交付主表,主表,承载研学团队交付的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P044,不分区,按法规与制度,业务服务,否,39
sjg_oms,education,teacher_schedule,讲师排课主表,主表,承载讲师排课的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P045,不分区,按法规与制度,业务服务,否,42
sjg_oms,education,teacher_schedule_item,讲师排课明细项,子表,按field_code承载：after_snapshot、before_snapshot,P045,不分区,与主表一致,业务服务,否,21
sjg_oms,entertainment,equipment_fault,演艺设备故障主表,主表,承载设备故障的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P083,不分区,按法规与制度,业务服务,否,39
sjg_oms,entertainment,equipment_fault_item,演艺设备故障明细项,子表,按field_code承载：spare_parts,P083,不分区,与主表一致,业务服务,否,21
sjg_oms,entertainment,program,节目主表,主表,承载节目上线的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P072,不分区,按法规与制度,业务服务,否,36
sjg_oms,entertainment,show_session,演出场次主表,主表,承载场次执行的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P073,不分区,按法规与制度,业务服务,否,42
sjg_oms,entertainment,show_session_item,演出场次明细项,子表,按field_code承载：after_snapshot、before_snapshot,P073,不分区,与主表一致,业务服务,否,21
sjg_oms,entertainment,staff_shortage,演出缺员事件主表,主表,承载临时缺员的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P074,不分区,按法规与制度,业务服务,否,42
sjg_oms,entertainment,staff_shortage_item,演出缺员事件明细项,子表,按field_code承载：after_snapshot、before_snapshot,P074,不分区,与主表一致,业务服务,否,21
sjg_oms,entertainment,suspension_advice,停演技术建议主表,主表,承载停演技术建议的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P084,不分区,按法规与制度,业务服务,否,38
sjg_oms,entertainment,suspension_decision,停演决策主表,主表,承载停演的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P075,不分区,按法规与制度,业务服务,否,42
sjg_oms,entertainment,suspension_decision_item,停演决策明细项,子表,按field_code承载：after_snapshot、before_snapshot,P075,不分区,与主表一致,业务服务,否,21
sjg_oms,entertainment,tech_support_task,演艺技术保障主表,主表,承载场次技术保障的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P082,不分区,按法规与制度,业务服务,否,38
sjg_oms,finance,budget_request,预算申请主表,主表,承载预算闭环的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P024,不分区,按法规与制度,业务服务,否,41
sjg_oms,finance,budget_request_item,预算申请明细项,子表,按field_code承载：after_snapshot、before_snapshot、invoice_nos,P024,不分区,与主表一致,业务服务,否,21
sjg_oms,finance,expense_claim,报销单主表,主表,承载报销闭环的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P025,不分区,按法规与制度,业务服务,否,37
sjg_oms,finance,expense_claim_item,报销单明细项,子表,按field_code承载：invoice_nos,P025,不分区,与主表一致,业务服务,否,21
sjg_oms,finance,loan_request,借款核销主表,主表,承载借款核销的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P026,不分区,按法规与制度,业务服务,否,39
sjg_oms,finance,loan_request_item,借款核销明细项,子表,按field_code承载：invoice_nos,P026,不分区,与主表一致,业务服务,否,21
sjg_oms,finance,reconciliation_task,对账任务主表,主表,承载跨系统对账的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P027,不分区,按法规与制度,业务服务,否,42
sjg_oms,finance,reconciliation_task_item,对账任务明细项,子表,按field_code承载：after_snapshot、before_snapshot、invoice_nos,P027,不分区,与主表一致,业务服务,否,21
sjg_oms,fleet,vehicle_dispatch,车辆派车主表,主表,承载派车的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P054,不分区,按法规与制度,业务服务,否,40
sjg_oms,fleet,vehicle_incident,车辆事故主表,主表,承载车辆事故的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P055,不分区,按法规与制度,业务服务,否,40
sjg_oms,hr,employee_offboarding,员工离职主表,主表,承载离职闭环的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P030,不分区,按法规与制度,业务服务,否,39
sjg_oms,hr,employee_offboarding_item,员工离职明细项,子表,按field_code承载：handover_checklist,P030,不分区,与主表一致,业务服务,否,21
sjg_oms,hr,employee_onboarding,员工入职主表,主表,承载录用入职闭环的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P028,不分区,按法规与制度,业务服务,否,38
sjg_oms,hr,employee_onboarding_item,员工入职明细项,子表,按field_code承载：handover_checklist,P028,不分区,与主表一致,业务服务,否,21
sjg_oms,hr,employee_profile_change,员工资料变更主表,主表,承载个人资料变更的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P003,不分区,按法规与制度,业务服务,否,32
sjg_oms,hr,employee_profile_change_item,员工资料变更明细项,子表,按field_code承载：after_snapshot、before_snapshot,P003,不分区,与主表一致,业务服务,否,21
sjg_oms,hr,employee_transfer,员工调岗主表,主表,承载调岗闭环的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P029,不分区,按法规与制度,业务服务,否,38
sjg_oms,hr,employee_transfer_item,员工调岗明细项,子表,按field_code承载：handover_checklist,P029,不分区,与主表一致,业务服务,否,21
sjg_oms,hr,promotion_request,晋升任职申请主表,主表,承载晋升与任职发展的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P012,不分区,按法规与制度,业务服务,否,38
sjg_oms,hr,promotion_request_item,晋升任职申请明细项,子表,按field_code承载：handover_checklist,P012,不分区,与主表一致,业务服务,否,21
sjg_oms,iam,account_execution,账号执行主表,主表,承载账号执行的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P090,不分区,按法规与制度,业务服务,否,38
sjg_oms,iam,account_execution_item,账号执行明细项,子表,按field_code承载：tech_logs_reports,P090,不分区,与主表一致,业务服务,否,21
sjg_oms,iam,data_scope_rule,数据权限规则表,权限表,数据权限规则表,,不分区,按法规与制度,业务服务,否,13
sjg_oms,iam,login_session,登录会话主表,主表,承载统一登录与多岗位身份切换的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P001,不分区,按法规与制度,业务服务,否,37
sjg_oms,iam,login_session_item,登录会话明细项,子表,按field_code承载：handover_checklist,P001,不分区,与主表一致,业务服务,否,21
sjg_oms,iam,permission,权限点表,权限表,权限点表,,不分区,按法规与制度,业务服务,否,13
sjg_oms,iam,permission_request,权限申请主表,主表,承载权限申请、复核与回收的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P002,不分区,按法规与制度,业务服务,否,38
sjg_oms,iam,permission_request_item,权限申请明细项,子表,按field_code承载：handover_checklist,P002,不分区,与主表一致,业务服务,否,21
sjg_oms,iam,role,角色表,权限表,角色表,,不分区,按法规与制度,业务服务,否,13
sjg_oms,iam,role_permission,角色权限表,关系表,角色权限表,,不分区,按法规与制度,业务服务,否,11
sjg_oms,iam,user_account,用户账户表,主数据表,用户账户表,,不分区,按法规与制度,业务服务,否,16
sjg_oms,iam,user_identity,用户身份表,子表,用户身份表,,不分区,按法规与制度,业务服务,否,17
sjg_oms,iam,user_role,用户角色表,关系表,用户角色表,,不分区,按法规与制度,业务服务,否,14
sjg_oms,integration,data_import_job,数据导入任务主表,主表,数据导入任务主表,P018,不分区,按法规与制度,业务服务,否,34
sjg_oms,integration,data_import_job_item,数据导入任务明细项,子表,按field_code承载：tech_logs_reports,P018,不分区,与主表一致,业务服务,否,21
sjg_oms,integration,dead_letter,死信表,技术表,死信表,,按created_at月分区,至少3年,业务服务,否,15
sjg_oms,integration,endpoint,集成端点表,配置表,集成端点表,,不分区,按法规与制度,业务服务,否,17
sjg_oms,integration,request_log,接口调用日志,日志表,接口调用日志,,按occurred_at月分区,在线180天，归档3年,业务服务,否,16
sjg_oms,integration,retry_task,接口重试任务,技术表,接口重试任务,,不分区,按法规与制度,业务服务,否,15
sjg_oms,itops,event_support,网络活动保障主表,主表,承载活动保障的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P087,不分区,按法规与制度,业务服务,否,39
sjg_oms,itops,event_support_item,网络活动保障明细项,子表,按field_code承载：actual_metrics,P087,不分区,与主表一致,业务服务,否,21
sjg_oms,itops,network_change,网络变更主表,主表,承载网络变更的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P086,不分区,按法规与制度,业务服务,否,42
sjg_oms,itops,network_change_item,网络变更明细项,子表,按field_code承载：after_snapshot、before_snapshot、tech_logs_reports,P086,不分区,与主表一致,业务服务,否,21
sjg_oms,itops,network_incident,网络故障主表,主表,承载网络故障的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P085,不分区,按法规与制度,业务服务,否,39
sjg_oms,itops,network_incident_item,网络故障明细项,子表,按field_code承载：spare_parts,P085,不分区,与主表一致,业务服务,否,21
sjg_oms,itops,recovery_drill,恢复演练主表,主表,承载恢复演练的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P091,不分区,按法规与制度,业务服务,否,37
sjg_oms,itops,recovery_drill_item,恢复演练明细项,子表,按field_code承载：tech_logs_reports,P091,不分区,与主表一致,业务服务,否,21
sjg_oms,itops,service_request,IT服务请求主表,主表,承载IT服务请求的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P088,不分区,按法规与制度,业务服务,否,38
sjg_oms,itops,service_request_item,IT服务请求明细项,子表,按field_code承载：tech_logs_reports,P088,不分区,与主表一致,业务服务,否,21
sjg_oms,learning,learning_assignment,学习任务主表,主表,承载员工学习、考试与资格的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P010,不分区,按法规与制度,业务服务,否,39
sjg_oms,maintenance,repair_order,维修工单主表,主表,承载报修的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P057,不分区,按法规与制度,业务服务,否,39
sjg_oms,maintenance,repair_order_item,维修工单明细项,子表,按field_code承载：spare_parts,P057,不分区,与主表一致,业务服务,否,21
sjg_oms,marketing,campaign,市场活动主表,主表,承载市场活动的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P041,不分区,按法规与制度,业务服务,否,39
sjg_oms,marketing,campaign_item,市场活动明细项,子表,按field_code承载：actual_metrics,P041,不分区,与主表一致,业务服务,否,21
sjg_oms,mdm,asset,资产主数据,主数据表,资产主数据,,不分区,按法规与制度,业务服务,否,14
sjg_oms,mdm,customer,客户主数据,主数据表,客户主数据,,不分区,按法规与制度,业务服务,否,14
sjg_oms,mdm,location,位置主数据,主数据表,位置主数据,,不分区,按法规与制度,业务服务,否,14
sjg_oms,mdm,merchant,商户主数据,主数据表,商户主数据,,不分区,按法规与制度,业务服务,否,14
sjg_oms,mdm,product,产品主数据,主数据表,产品主数据,,不分区,按法规与制度,业务服务,否,14
