table,name,columns,kind,unique,where,purpose
iam.user_account,uk_iam_user_account_login_name,"tenant_id,login_name",BTREE,是,,登录名唯一约束
iam.user_identity,idx_iam_user_identity_tenant,tenant_id,BTREE,否,,租户过滤/RLS
iam.user_identity,idx_iam_user_identity_created,"tenant_id,created_at DESC",BTREE,否,,时间范围查询
iam.role,idx_iam_role_tenant,tenant_id,BTREE,否,,租户过滤/RLS
iam.role,idx_iam_role_created,"tenant_id,created_at DESC",BTREE,否,,时间范围查询
iam.role,uk_iam_role_role_code,"tenant_id,role_code",BTREE,是,,角色编码唯一约束
iam.permission,idx_iam_permission_tenant,tenant_id,BTREE,否,,租户过滤/RLS
iam.permission,idx_iam_permission_created,"tenant_id,created_at DESC",BTREE,否,,时间范围查询
iam.permission,uk_iam_permission_permission_code,"tenant_id,permission_code",BTREE,是,,权限编码唯一约束
iam.role_permission,idx_iam_role_permission_tenant,tenant_id,BTREE,否,,租户过滤/RLS
iam.role_permission,idx_iam_role_permission_created,"tenant_id,created_at DESC",BTREE,否,,时间范围查询
iam.user_role,idx_iam_user_role_tenant,tenant_id,BTREE,否,,租户过滤/RLS
iam.user_role,idx_iam_user_role_created,"tenant_id,created_at DESC",BTREE,否,,时间范围查询
iam.data_scope_rule,idx_iam_data_scope_rule_tenant,tenant_id,BTREE,否,,租户过滤/RLS
iam.data_scope_rule,idx_iam_data_scope_rule_created,"tenant_id,created_at DESC",BTREE,否,,时间范围查询
iam.data_scope_rule,uk_iam_data_scope_rule_scope_code,"tenant_id,scope_code",BTREE,是,,范围编码唯一约束
org.organization,idx_org_organization_tenant,tenant_id,BTREE,否,,租户过滤/RLS
org.organization,idx_org_organization_status,"tenant_id,status",BTREE,否,,待办和状态查询
org.organization,idx_org_organization_created,"tenant_id,created_at DESC",BTREE,否,,时间范围查询
org.organization,uk_org_organization_org_code,"tenant_id,org_code",BTREE,是,,组织编码唯一约束
org.position,idx_org_position_tenant,tenant_id,BTREE,否,,租户过滤/RLS
org.position,idx_org_position_status,"tenant_id,status",BTREE,否,,待办和状态查询
org.position,idx_org_position_created,"tenant_id,created_at DESC",BTREE,否,,时间范围查询
org.position,uk_org_position_position_code,"tenant_id,position_code",BTREE,是,,岗位编码唯一约束
org.employee,idx_org_employee_tenant,tenant_id,BTREE,否,,租户过滤/RLS
org.employee,idx_org_employee_created,"tenant_id,created_at DESC",BTREE,否,,时间范围查询
org.employee,uk_org_employee_employee_no,"tenant_id,employee_no",BTREE,是,,员工编号唯一约束
org.employee_position,idx_org_employee_position_tenant,tenant_id,BTREE,否,,租户过滤/RLS
org.employee_position,idx_org_employee_position_status,"tenant_id,status",BTREE,否,,待办和状态查询
org.employee_position,idx_org_employee_position_created,"tenant_id,created_at DESC",BTREE,否,,时间范围查询
mdm.customer,idx_mdm_customer_tenant,tenant_id,BTREE,否,,租户过滤/RLS
mdm.customer,idx_mdm_customer_status,"tenant_id,status",BTREE,否,,待办和状态查询
mdm.customer,idx_mdm_customer_created,"tenant_id,created_at DESC",BTREE,否,,时间范围查询
mdm.customer,uk_mdm_customer_master_code,"tenant_id,master_code",BTREE,是,,主数据编码唯一约束
mdm.supplier,idx_mdm_supplier_tenant,tenant_id,BTREE,否,,租户过滤/RLS
mdm.supplier,idx_mdm_supplier_status,"tenant_id,status",BTREE,否,,待办和状态查询
mdm.supplier,idx_mdm_supplier_created,"tenant_id,created_at DESC",BTREE,否,,时间范围查询
mdm.supplier,uk_mdm_supplier_master_code,"tenant_id,master_code",BTREE,是,,主数据编码唯一约束
mdm.merchant,idx_mdm_merchant_tenant,tenant_id,BTREE,否,,租户过滤/RLS
mdm.merchant,idx_mdm_merchant_status,"tenant_id,status",BTREE,否,,待办和状态查询
mdm.merchant,idx_mdm_merchant_created,"tenant_id,created_at DESC",BTREE,否,,时间范围查询
mdm.merchant,uk_mdm_merchant_master_code,"tenant_id,master_code",BTREE,是,,主数据编码唯一约束
mdm.product,idx_mdm_product_tenant,tenant_id,BTREE,否,,租户过滤/RLS
mdm.product,idx_mdm_product_status,"tenant_id,status",BTREE,否,,待办和状态查询
mdm.product,idx_mdm_product_created,"tenant_id,created_at DESC",BTREE,否,,时间范围查询
mdm.product,uk_mdm_product_master_code,"tenant_id,master_code",BTREE,是,,主数据编码唯一约束
mdm.asset,idx_mdm_asset_tenant,tenant_id,BTREE,否,,租户过滤/RLS
mdm.asset,idx_mdm_asset_status,"tenant_id,status",BTREE,否,,待办和状态查询
mdm.asset,idx_mdm_asset_created,"tenant_id,created_at DESC",BTREE,否,,时间范围查询
mdm.asset,uk_mdm_asset_master_code,"tenant_id,master_code",BTREE,是,,主数据编码唯一约束
mdm.location,idx_mdm_location_tenant,tenant_id,BTREE,否,,租户过滤/RLS
mdm.location,idx_mdm_location_status,"tenant_id,status",BTREE,否,,待办和状态查询
mdm.location,idx_mdm_location_created,"tenant_id,created_at DESC",BTREE,否,,时间范围查询
mdm.location,uk_mdm_location_master_code,"tenant_id,master_code",BTREE,是,,主数据编码唯一约束
workflow.wf_definition,idx_workflow_wf_definition_tenant,tenant_id,BTREE,否,,租户过滤/RLS
workflow.wf_definition,idx_workflow_wf_definition_created,"tenant_id,created_at DESC",BTREE,否,,时间范围查询
workflow.wf_definition,uk_workflow_wf_definition_process_code,"tenant_id,process_code",BTREE,是,,流程编码唯一约束
workflow.wf_version,idx_workflow_wf_version_tenant,tenant_id,BTREE,否,,租户过滤/RLS
workflow.wf_version,idx_workflow_wf_version_status,"tenant_id,status",BTREE,否,,待办和状态查询
workflow.wf_version,idx_workflow_wf_version_created,"tenant_id,created_at DESC",BTREE,否,,时间范围查询
workflow.wf_node,idx_workflow_wf_node_tenant,tenant_id,BTREE,否,,租户过滤/RLS
workflow.wf_node,idx_workflow_wf_node_created,"tenant_id,created_at DESC",BTREE,否,,时间范围查询
workflow.wf_transition,idx_workflow_wf_transition_tenant,tenant_id,BTREE,否,,租户过滤/RLS
workflow.wf_transition,idx_workflow_wf_transition_created,"tenant_id,created_at DESC",BTREE,否,,时间范围查询
workflow.wf_instance,idx_workflow_wf_instance_tenant,tenant_id,BTREE,否,,租户过滤/RLS
workflow.wf_instance,idx_workflow_wf_instance_status,"tenant_id,status",BTREE,否,,待办和状态查询
workflow.wf_instance,idx_workflow_wf_instance_created,"tenant_id,created_at DESC",BTREE,否,,时间范围查询
workflow.wf_instance,uk_workflow_wf_instance_instance_no,"tenant_id,instance_no",BTREE,是,,流程实例编号唯一约束
workflow.wf_task,idx_workflow_wf_task_tenant,tenant_id,BTREE,否,,租户过滤/RLS
workflow.wf_task,idx_workflow_wf_task_status,"tenant_id,status",BTREE,否,,待办和状态查询
workflow.wf_task,idx_workflow_wf_task_created,"tenant_id,created_at DESC",BTREE,否,,时间范围查询
workflow.wf_task,uk_workflow_wf_task_task_no,"tenant_id,task_no",BTREE,是,,任务编号唯一约束
workflow.wf_action_log,idx_workflow_wf_action_log_tenant,tenant_id,BTREE,否,,租户过滤/RLS
workflow.wf_action_log,idx_workflow_wf_action_log_created,"tenant_id,created_at DESC",BTREE,否,,时间范围查询
workflow.wf_form_definition,idx_workflow_wf_form_definition_tenant,tenant_id,BTREE,否,,租户过滤/RLS
workflow.wf_form_definition,idx_workflow_wf_form_definition_created,"tenant_id,created_at DESC",BTREE,否,,时间范围查询
workflow.wf_submission,idx_workflow_wf_submission_tenant,tenant_id,BTREE,否,,租户过滤/RLS
workflow.wf_submission,idx_workflow_wf_submission_status,"tenant_id,status",BTREE,否,,待办和状态查询
workflow.wf_submission,idx_workflow_wf_submission_created,"tenant_id,created_at DESC",BTREE,否,,时间范围查询
workflow.wf_submission,uk_workflow_wf_submission_submission_no,"tenant_id,submission_no",BTREE,是,,提交编号唯一约束
workflow.wf_submission_value,idx_workflow_wf_submission_value_tenant,tenant_id,BTREE,否,,租户过滤/RLS
workflow.wf_submission_value,idx_workflow_wf_submission_value_created,"tenant_id,created_at DESC",BTREE,否,,时间范围查询
workflow.wf_business_relation,idx_workflow_wf_business_relation_tenant,tenant_id,BTREE,否,,租户过滤/RLS
workflow.wf_business_relation,idx_workflow_wf_business_relation_created,"tenant_id,created_at DESC",BTREE,否,,时间范围查询
workflow.wf_orchestration_instance,idx_workflow_wf_orchestration_instance_tenant,tenant_id,BTREE,否,,租户过滤/RLS
workflow.wf_orchestration_instance,uk_workflow_wf_orchestration_instance_bizno,"tenant_id,business_no",BTREE,是,,租户内业务单号唯一
workflow.wf_orchestration_instance,idx_workflow_wf_orchestration_instance_status,"tenant_id,status",BTREE,否,,待办和状态查询
workflow.wf_orchestration_instance,idx_workflow_wf_orchestration_instance_created,"tenant_id,created_at DESC",BTREE,否,,时间范围查询
workflow.wf_orchestration_instance,idx_workflow_wf_orchestration_instance_wf,workflow_instance_id,BTREE,否,,流程与业务对象关联
workflow.wf_orchestration_instance,uk_workflow_wf_orchestration_instance_business_no,"tenant_id,business_no",BTREE,是,,业务单号唯一约束
workflow.wf_orchestration_link,idx_workflow_wf_orchestration_link_tenant,tenant_id,BTREE,否,,租户过滤/RLS
workflow.wf_orchestration_link,idx_workflow_wf_orchestration_link_status,"tenant_id,status",BTREE,否,,待办和状态查询
workflow.wf_orchestration_link,idx_workflow_wf_orchestration_link_created,"tenant_id,created_at DESC",BTREE,否,,时间范围查询
workflow.wf_rule,idx_workflow_wf_rule_tenant,tenant_id,BTREE,否,,租户过滤/RLS
workflow.wf_rule,idx_workflow_wf_rule_created,"tenant_id,created_at DESC",BTREE,否,,时间范围查询
workflow.wf_sla_policy,idx_workflow_wf_sla_policy_tenant,tenant_id,BTREE,否,,租户过滤/RLS
workflow.wf_sla_policy,idx_workflow_wf_sla_policy_created,"tenant_id,created_at DESC",BTREE,否,,时间范围查询
workflow.wf_sla_policy,uk_workflow_wf_sla_policy_policy_code,"tenant_id,policy_code",BTREE,是,,策略编码唯一约束
workflow.generic_request,idx_workflow_generic_request_tenant,tenant_id,BTREE,否,,租户过滤/RLS
workflow.generic_request,uk_workflow_generic_request_bizno,"tenant_id,business_no",BTREE,是,,租户内业务单号唯一
workflow.generic_request,idx_workflow_generic_request_status,"tenant_id,status",BTREE,否,,待办和状态查询
workflow.generic_request,idx_workflow_generic_request_created,"tenant_id,created_at DESC",BTREE,否,,时间范围查询
workflow.generic_request,idx_workflow_generic_request_wf,workflow_instance_id,BTREE,否,,流程与业务对象关联
workflow.generic_request,uk_workflow_generic_request_business_no,"tenant_id,business_no",BTREE,是,,业务单号唯一约束
document.file_object,idx_document_file_object_tenant,tenant_id,BTREE,否,,租户过滤/RLS
document.file_object,idx_document_file_object_created,"tenant_id,created_at DESC",BTREE,否,,时间范围查询
document.file_object,uk_document_file_object_object_key,"tenant_id,object_key",BTREE,是,,对象键唯一约束
document.attachment_link,idx_document_attachment_link_tenant,tenant_id,BTREE,否,,租户过滤/RLS
document.attachment_link,idx_document_attachment_link_created,"tenant_id,created_at DESC",BTREE,否,,时间范围查询
document.signature_envelope,idx_document_signature_envelope_tenant,tenant_id,BTREE,否,,租户过滤/RLS
document.signature_envelope,uk_document_signature_envelope_bizno,"tenant_id,business_no",BTREE,是,,租户内业务单号唯一
document.signature_envelope,idx_document_signature_envelope_status,"tenant_id,status",BTREE,否,,待办和状态查询
document.signature_envelope,idx_document_signature_envelope_created,"tenant_id,created_at DESC",BTREE,否,,时间范围查询
document.signature_envelope,idx_document_signature_envelope_wf,workflow_instance_id,BTREE,否,,流程与业务对象关联
document.signature_envelope,uk_document_signature_envelope_business_no,"tenant_id,business_no",BTREE,是,,业务单号唯一约束
document.signature_envelope,uk_document_signature_envelope_envelope_no,"tenant_id,envelope_no",BTREE,是,,签署信封号唯一约束
document.signature_party,idx_document_signature_party_tenant,tenant_id,BTREE,否,,租户过滤/RLS
document.signature_party,idx_document_signature_party_created,"tenant_id,created_at DESC",BTREE,否,,时间范围查询
document.signature_party,uk_document_signature_party_order,"tenant_id,envelope_id,sign_order",BTREE,是,is_deleted = false,同一签署信封内签署顺序唯一
notification.template,idx_notification_template_tenant,tenant_id,BTREE,否,,租户过滤/RLS
notification.template,idx_notification_template_created,"tenant_id,created_at DESC",BTREE,否,,时间范围查询
notification.template,uk_notification_template_template_code,"tenant_id,template_code",BTREE,是,,模板编码唯一约束
notification.message,idx_notification_message_tenant,tenant_id,BTREE,否,,租户过滤/RLS
notification.message,idx_notification_message_status,"tenant_id,status",BTREE,否,,待办和状态查询
notification.message,idx_notification_message_created,"tenant_id,created_at DESC",BTREE,否,,时间范围查询
notification.message,uk_notification_message_message_no,"tenant_id,message_no",BTREE,是,,消息编号唯一约束
integration.endpoint,idx_integration_endpoint_tenant,tenant_id,BTREE,否,,租户过滤/RLS
integration.endpoint,idx_integration_endpoint_created,"tenant_id,created_at DESC",BTREE,否,,时间范围查询
integration.endpoint,uk_integration_endpoint_endpoint_code,"tenant_id,endpoint_code",BTREE,是,,端点编码唯一约束
integration.request_log,idx_integration_request_log_tenant,tenant_id,BTREE,否,,租户过滤/RLS
integration.request_log,idx_integration_request_log_created,"tenant_id,created_at DESC",BTREE,否,,时间范围查询
integration.request_log,uk_integration_request_log_request_id,"tenant_id,request_id",BTREE,是,,请求ID唯一约束
integration.retry_task,idx_integration_retry_task_tenant,tenant_id,BTREE,否,,租户过滤/RLS
integration.retry_task,idx_integration_retry_task_status,"tenant_id,status",BTREE,否,,待办和状态查询
integration.retry_task,idx_integration_retry_task_created,"tenant_id,created_at DESC",BTREE,否,,时间范围查询
integration.dead_letter,idx_integration_dead_letter_tenant,tenant_id,BTREE,否,,租户过滤/RLS
integration.dead_letter,idx_integration_dead_letter_status,"tenant_id,status",BTREE,否,,待办和状态查询
integration.dead_letter,idx_integration_dead_letter_created,"tenant_id,created_at DESC",BTREE,否,,时间范围查询
integration.data_import_job,idx_integration_data_import_job_tenant,tenant_id,BTREE,否,,租户过滤/RLS
integration.data_import_job,uk_integration_data_import_job_bizno,"tenant_id,business_no",BTREE,是,,租户内业务单号唯一
integration.data_import_job,idx_integration_data_import_job_status,"tenant_id,status",BTREE,否,,待办和状态查询
integration.data_import_job,idx_integration_data_import_job_created,"tenant_id,created_at DESC",BTREE,否,,时间范围查询
integration.data_import_job,idx_integration_data_import_job_wf,workflow_instance_id,BTREE,否,,流程与业务对象关联
integration.data_import_job,uk_integration_data_import_job_business_no,"tenant_id,business_no",BTREE,是,,业务单号唯一约束
audit.data_export_request,idx_audit_data_export_request_tenant,tenant_id,BTREE,否,,租户过滤/RLS
audit.data_export_request,uk_audit_data_export_request_bizno,"tenant_id,business_no",BTREE,是,,租户内业务单号唯一
audit.data_export_request,idx_audit_data_export_request_status,"tenant_id,status",BTREE,否,,待办和状态查询
audit.data_export_request,idx_audit_data_export_request_created,"tenant_id,created_at DESC",BTREE,否,,时间范围查询
audit.data_export_request,idx_audit_data_export_request_wf,workflow_instance_id,BTREE,否,,流程与业务对象关联
audit.data_export_request,uk_audit_data_export_request_business_no,"tenant_id,business_no",BTREE,是,,业务单号唯一约束
audit.data_quality_issue,idx_audit_data_quality_issue_tenant,tenant_id,BTREE,否,,租户过滤/RLS
audit.data_quality_issue,uk_audit_data_quality_issue_bizno,"tenant_id,business_no",BTREE,是,,租户内业务单号唯一
audit.data_quality_issue,idx_audit_data_quality_issue_status,"tenant_id,status",BTREE,否,,待办和状态查询
audit.data_quality_issue,idx_audit_data_quality_issue_created,"tenant_id,created_at DESC",BTREE,否,,时间范围查询
audit.data_quality_issue,idx_audit_data_quality_issue_wf,workflow_instance_id,BTREE,否,,流程与业务对象关联
audit.data_quality_issue,uk_audit_data_quality_issue_business_no,"tenant_id,business_no",BTREE,是,,业务单号唯一约束
audit.audit_policy,idx_audit_audit_policy_tenant,tenant_id,BTREE,否,,租户过滤/RLS
audit.audit_policy,idx_audit_audit_policy_created,"tenant_id,created_at DESC",BTREE,否,,时间范围查询
audit.audit_policy,uk_audit_audit_policy_policy_code,"tenant_id,policy_code",BTREE,是,,策略编码唯一约束
audit.operation_log,idx_audit_operation_log_tenant,tenant_id,BTREE,否,,租户过滤/RLS
audit.data_change_log,idx_audit_data_change_log_tenant,tenant_id,BTREE,否,,租户过滤/RLS
audit.access_log,idx_audit_access_log_tenant,tenant_id,BTREE,否,,租户过滤/RLS
audit.rule_execution_log,idx_audit_rule_execution_log_tenant,tenant_id,BTREE,否,,租户过滤/RLS
audit.security_event,idx_audit_security_event_tenant,tenant_id,BTREE,否,,租户过滤/RLS
iam.login_session,idx_iam_login_session_tenant,tenant_id,BTREE,否,,租户过滤/RLS
iam.login_session,uk_iam_login_session_bizno,"tenant_id,business_no",BTREE,是,,租户内业务单号唯一
iam.login_session,idx_iam_login_session_status,"tenant_id,status",BTREE,否,,待办和状态查询
iam.login_session,idx_iam_login_session_created,"tenant_id,created_at DESC",BTREE,否,,时间范围查询
iam.login_session,idx_iam_login_session_wf,workflow_instance_id,BTREE,否,,流程与业务对象关联
iam.login_session,uk_iam_login_session_business_no,"tenant_id,business_no",BTREE,是,,业务单号唯一约束
iam.login_session_item,idx_iam_login_session_item_tenant,tenant_id,BTREE,否,,租户过滤/RLS
iam.login_session_item,idx_iam_login_session_item_created,"tenant_id,created_at DESC",BTREE,否,,时间范围查询
iam.permission_request,idx_iam_permission_request_tenant,tenant_id,BTREE,否,,租户过滤/RLS
iam.permission_request,uk_iam_permission_request_bizno,"tenant_id,business_no",BTREE,是,,租户内业务单号唯一
iam.permission_request,idx_iam_permission_request_status,"tenant_id,status",BTREE,否,,待办和状态查询
iam.permission_request,idx_iam_permission_request_created,"tenant_id,created_at DESC",BTREE,否,,时间范围查询
iam.permission_request,idx_iam_permission_request_wf,workflow_instance_id,BTREE,否,,流程与业务对象关联
iam.permission_request,uk_iam_permission_request_business_no,"tenant_id,business_no",BTREE,是,,业务单号唯一约束
iam.permission_request_item,idx_iam_permission_request_item_tenant,tenant_id,BTREE,否,,租户过滤/RLS
iam.permission_request_item,idx_iam_permission_request_item_created,"tenant_id,created_at DESC",BTREE,否,,时间范围查询
hr.employee_profile_change,idx_hr_employee_profile_change_tenant,tenant_id,BTREE,否,,租户过滤/RLS
hr.employee_profile_change,uk_hr_employee_profile_change_bizno,"tenant_id,business_no",BTREE,是,,租户内业务单号唯一
hr.employee_profile_change,idx_hr_employee_profile_change_status,"tenant_id,status",BTREE,否,,待办和状态查询
hr.employee_profile_change,idx_hr_employee_profile_change_created,"tenant_id,created_at DESC",BTREE,否,,时间范围查询
hr.employee_profile_change,idx_hr_employee_profile_change_wf,workflow_instance_id,BTREE,否,,流程与业务对象关联
hr.employee_profile_change,uk_hr_employee_profile_change_business_no,"tenant_id,business_no",BTREE,是,,业务单号唯一约束
hr.employee_profile_change_item,idx_hr_employee_profile_change_item_tenant,tenant_id,BTREE,否,,租户过滤/RLS
hr.employee_profile_change_item,idx_hr_employee_profile_change_item_created,"tenant_id,created_at DESC",BTREE,否,,时间范围查询
collaboration.notice,idx_collaboration_notice_tenant,tenant_id,BTREE,否,,租户过滤/RLS
collaboration.notice,uk_collaboration_notice_bizno,"tenant_id,business_no",BTREE,是,,租户内业务单号唯一
collaboration.notice,idx_collaboration_notice_status,"tenant_id,status",BTREE,否,,待办和状态查询
collaboration.notice,idx_collaboration_notice_created,"tenant_id,created_at DESC",BTREE,否,,时间范围查询
collaboration.notice,idx_collaboration_notice_wf,workflow_instance_id,BTREE,否,,流程与业务对象关联
collaboration.notice,uk_collaboration_notice_business_no,"tenant_id,business_no",BTREE,是,,业务单号唯一约束
collaboration.notice_item,idx_collaboration_notice_item_tenant,tenant_id,BTREE,否,,租户过滤/RLS
collaboration.notice_item,idx_collaboration_notice_item_created,"tenant_id,created_at DESC",BTREE,否,,时间范围查询
collaboration.meeting,idx_collaboration_meeting_tenant,tenant_id,BTREE,否,,租户过滤/RLS
collaboration.meeting,uk_collaboration_meeting_bizno,"tenant_id,business_no",BTREE,是,,租户内业务单号唯一
collaboration.meeting,idx_collaboration_meeting_status,"tenant_id,status",BTREE,否,,待办和状态查询
collaboration.meeting,idx_collaboration_meeting_created,"tenant_id,created_at DESC",BTREE,否,,时间范围查询
collaboration.meeting,idx_collaboration_meeting_wf,workflow_instance_id,BTREE,否,,流程与业务对象关联
collaboration.meeting,uk_collaboration_meeting_business_no,"tenant_id,business_no",BTREE,是,,业务单号唯一约束
collaboration.meeting_item,idx_collaboration_meeting_item_tenant,tenant_id,BTREE,否,,租户过滤/RLS
collaboration.meeting_item,idx_collaboration_meeting_item_created,"tenant_id,created_at DESC",BTREE,否,,时间范围查询
attendance.shift_change_request,idx_attendance_shift_change_request_tenant,tenant_id,BTREE,否,,租户过滤/RLS
attendance.shift_change_request,uk_attendance_shift_change_request_bizno,"tenant_id,business_no",BTREE,是,,租户内业务单号唯一
attendance.shift_change_request,idx_attendance_shift_change_request_status,"tenant_id,status",BTREE,否,,待办和状态查询
attendance.shift_change_request,idx_attendance_shift_change_request_created,"tenant_id,created_at DESC",BTREE,否,,时间范围查询
attendance.shift_change_request,idx_attendance_shift_change_request_wf,workflow_instance_id,BTREE,否,,流程与业务对象关联
attendance.shift_change_request,uk_attendance_shift_change_request_business_no,"tenant_id,business_no",BTREE,是,,业务单号唯一约束
attendance.shift_change_request_item,idx_attendance_shift_change_request_item_tenant,tenant_id,BTREE,否,,租户过滤/RLS
attendance.shift_change_request_item,idx_attendance_shift_change_request_item_created,"tenant_id,created_at DESC",BTREE,否,,时间范围查询
attendance.leave_request,idx_attendance_leave_request_tenant,tenant_id,BTREE,否,,租户过滤/RLS
attendance.leave_request,uk_attendance_leave_request_bizno,"tenant_id,business_no",BTREE,是,,租户内业务单号唯一
attendance.leave_request,idx_attendance_leave_request_status,"tenant_id,status",BTREE,否,,待办和状态查询
attendance.leave_request,idx_attendance_leave_request_created,"tenant_id,created_at DESC",BTREE,否,,时间范围查询
attendance.leave_request,idx_attendance_leave_request_wf,workflow_instance_id,BTREE,否,,流程与业务对象关联
attendance.leave_request,uk_attendance_leave_request_business_no,"tenant_id,business_no",BTREE,是,,业务单号唯一约束
attendance.leave_request_item,idx_attendance_leave_request_item_tenant,tenant_id,BTREE,否,,租户过滤/RLS
attendance.leave_request_item,idx_attendance_leave_request_item_created,"tenant_id,created_at DESC",BTREE,否,,时间范围查询
attendance.overtime_request,idx_attendance_overtime_request_tenant,tenant_id,BTREE,否,,租户过滤/RLS
attendance.overtime_request,uk_attendance_overtime_request_bizno,"tenant_id,business_no",BTREE,是,,租户内业务单号唯一
attendance.overtime_request,idx_attendance_overtime_request_status,"tenant_id,status",BTREE,否,,待办和状态查询
attendance.overtime_request,idx_attendance_overtime_request_created,"tenant_id,created_at DESC",BTREE,否,,时间范围查询
attendance.overtime_request,idx_attendance_overtime_request_wf,workflow_instance_id,BTREE,否,,流程与业务对象关联
attendance.overtime_request,uk_attendance_overtime_request_business_no,"tenant_id,business_no",BTREE,是,,业务单号唯一约束
attendance.overtime_request_item,idx_attendance_overtime_request_item_tenant,tenant_id,BTREE,否,,租户过滤/RLS
attendance.overtime_request_item,idx_attendance_overtime_request_item_created,"tenant_id,created_at DESC",BTREE,否,,时间范围查询
learning.learning_assignment,idx_learning_learning_assignment_tenant,tenant_id,BTREE,否,,租户过滤/RLS
learning.learning_assignment,uk_learning_learning_assignment_bizno,"tenant_id,business_no",BTREE,是,,租户内业务单号唯一
learning.learning_assignment,idx_learning_learning_assignment_status,"tenant_id,status",BTREE,否,,待办和状态查询
learning.learning_assignment,idx_learning_learning_assignment_created,"tenant_id,created_at DESC",BTREE,否,,时间范围查询
learning.learning_assignment,idx_learning_learning_assignment_wf,workflow_instance_id,BTREE,否,,流程与业务对象关联
learning.learning_assignment,uk_learning_learning_assignment_business_no,"tenant_id,business_no",BTREE,是,,业务单号唯一约束
performance.performance_cycle,idx_performance_performance_cycle_tenant,tenant_id,BTREE,否,,租户过滤/RLS
performance.performance_cycle,uk_performance_performance_cycle_bizno,"tenant_id,business_no",BTREE,是,,租户内业务单号唯一
performance.performance_cycle,idx_performance_performance_cycle_status,"tenant_id,status",BTREE,否,,待办和状态查询
performance.performance_cycle,idx_performance_performance_cycle_created,"tenant_id,created_at DESC",BTREE,否,,时间范围查询
performance.performance_cycle,idx_performance_performance_cycle_wf,workflow_instance_id,BTREE,否,,流程与业务对象关联
performance.performance_cycle,uk_performance_performance_cycle_business_no,"tenant_id,business_no",BTREE,是,,业务单号唯一约束
hr.promotion_request,idx_hr_promotion_request_tenant,tenant_id,BTREE,否,,租户过滤/RLS
hr.promotion_request,uk_hr_promotion_request_bizno,"tenant_id,business_no",BTREE,是,,租户内业务单号唯一
hr.promotion_request,idx_hr_promotion_request_status,"tenant_id,status",BTREE,否,,待办和状态查询
hr.promotion_request,idx_hr_promotion_request_created,"tenant_id,created_at DESC",BTREE,否,,时间范围查询
hr.promotion_request,idx_hr_promotion_request_wf,workflow_instance_id,BTREE,否,,流程与业务对象关联
hr.promotion_request,uk_hr_promotion_request_business_no,"tenant_id,business_no",BTREE,是,,业务单号唯一约束
hr.promotion_request_item,idx_hr_promotion_request_item_tenant,tenant_id,BTREE,否,,租户过滤/RLS
hr.promotion_request_item,idx_hr_promotion_request_item_created,"tenant_id,created_at DESC",BTREE,否,,时间范围查询
reward.reward_case,idx_reward_reward_case_tenant,tenant_id,BTREE,否,,租户过滤/RLS
reward.reward_case,uk_reward_reward_case_bizno,"tenant_id,business_no",BTREE,是,,租户内业务单号唯一
reward.reward_case,idx_reward_reward_case_status,"tenant_id,status",BTREE,否,,待办和状态查询
reward.reward_case,idx_reward_reward_case_created,"tenant_id,created_at DESC",BTREE,否,,时间范围查询
