process_code,process_name,business_section,module,source_folder,database,schema,master_table,detail_table,workflow_tables,attachment_table,audit_database,analytics_subject,mapping_rule
P012,晋升与任职发展,平台公共能力,全员公共能力,01_平台公共能力,sjg_oms,hr,hr.promotion_request,hr.promotion_request_item,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,人力资源,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P013,奖励,平台公共能力,全员公共能力,01_平台公共能力,sjg_oms,reward,reward.reward_case,,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,奖惩积分,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P014,纪律、责任与申诉,平台公共能力,全员公共能力,01_平台公共能力,sjg_oms,reward,reward.discipline_case,,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,奖惩积分,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P015,成长积分与荣誉积分,平台公共能力,全员公共能力,01_平台公共能力,sjg_oms,reward,reward.point_transaction,reward.point_transaction_item,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,奖惩积分,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P016,员工福利与关怀,平台公共能力,全员公共能力,01_平台公共能力,sjg_oms,welfare,welfare.care_case,,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,福利关怀,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P017,电子签署,平台公共能力,全员公共能力,01_平台公共能力,sjg_oms,document,document.signature_envelope,,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,文件签署,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P018,数据导入,平台公共能力,全员公共能力,01_平台公共能力,sjg_oms,integration,integration.data_import_job,integration.data_import_job_item,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,集成平台,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P019,敏感导出与文件下载,平台公共能力,全员公共能力,01_平台公共能力,sjg_oms,audit,audit.data_export_request,audit.data_export_request_item,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,审计治理,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P020,数据质量与修复,平台公共能力,全员公共能力,01_平台公共能力,sjg_oms,audit,audit.data_quality_issue,audit.data_quality_issue_item,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,审计治理,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P021,经营会议闭环,总裁办,总裁办经营管理模块,02_总裁办,sjg_oms,collaboration,collaboration.meeting,collaboration.meeting_item,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,协同办公,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P022,总裁指令闭环,总裁办,总裁办经营管理模块,02_总裁办,sjg_oms,collaboration,collaboration.executive_directive,collaboration.executive_directive_item,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,协同办公,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P023,重大事项升级,总裁办,总裁办经营管理模块,02_总裁办,sjg_oms,collaboration,collaboration.major_matter,,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,协同办公,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P024,预算闭环,财人中心,财务部业务模块,03_财人中心,sjg_oms,finance,finance.budget_request,finance.budget_request_item,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,财务管理,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P025,报销闭环,财人中心,财务部业务模块,03_财人中心,sjg_oms,finance,finance.expense_claim,finance.expense_claim_item,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,财务管理,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P026,借款核销,财人中心,财务部业务模块,03_财人中心,sjg_oms,finance,finance.loan_request,finance.loan_request_item,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,财务管理,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P027,跨系统对账,财人中心,财务部业务模块,03_财人中心,sjg_oms,finance,finance.reconciliation_task,finance.reconciliation_task_item,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,财务管理,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P028,录用入职闭环,财人中心,人力资源部业务模块,03_财人中心,sjg_oms,hr,hr.employee_onboarding,hr.employee_onboarding_item,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,人力资源,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P029,调岗闭环,财人中心,人力资源部业务模块,03_财人中心,sjg_oms,hr,hr.employee_transfer,hr.employee_transfer_item,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,人力资源,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P030,离职闭环,财人中心,人力资源部业务模块,03_财人中心,sjg_oms,hr,hr.employee_offboarding,hr.employee_offboarding_item,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,人力资源,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P031,归档接收,财人中心,档案管理部业务模块,03_财人中心,sjg_oms,archive,archive.archive_package,archive.archive_package_item,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,档案管理,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P032,借阅归还,财人中心,档案管理部业务模块,03_财人中心,sjg_oms,archive,archive.borrow_request,archive.borrow_request_item,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,档案管理,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P033,销毁鉴定,财人中心,档案管理部业务模块,03_财人中心,sjg_oms,archive,archive.disposal_appraisal,archive.disposal_appraisal_item,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,档案管理,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P034,标准采购,财人中心,采购部业务模块,03_财人中心,sjg_oms,procurement,procurement.purchase_request,procurement.purchase_request_item,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,采购管理,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P035,紧急采购,财人中心,采购部业务模块,03_财人中心,sjg_oms,procurement,procurement.emergency_purchase,procurement.emergency_purchase_item,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,采购管理,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P036,退换货,财人中心,采购部业务模块,03_财人中心,sjg_oms,procurement,procurement.purchase_return,procurement.purchase_return_item,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,采购管理,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P037,售检票闭环,财人中心,票务服务部业务模块,03_财人中心,sjg_oms,ticketing,ticketing.ticket_order,ticketing.ticket_order_item,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,票务服务,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P038,退款改签,财人中心,票务服务部业务模块,03_财人中心,sjg_oms,ticketing,ticketing.ticket_refund_change,ticketing.ticket_refund_change_item,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,票务服务,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P039,离线检票,财人中心,票务服务部业务模块,03_财人中心,sjg_oms,ticketing,ticketing.offline_check_event,ticketing.offline_check_event_item,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,票务服务,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P040,商机推进,市场中心,市场部业务模块,04_市场中心,sjg_oms,crm,crm.opportunity,crm.opportunity_item,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,客户渠道,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P041,市场活动,市场中心,市场部业务模块,04_市场中心,sjg_oms,marketing,marketing.campaign,marketing.campaign_item,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,市场活动,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P042,渠道准入,市场中心,市场部业务模块,04_市场中心,sjg_oms,crm,crm.channel_partner,crm.channel_partner_item,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,客户渠道,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P043,课程产品上线,市场中心,教育部业务模块,04_市场中心,sjg_oms,education,education.course_product,,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,教育研学,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P044,研学团队交付,市场中心,教育部业务模块,04_市场中心,sjg_oms,education,education.study_tour_delivery,,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,教育研学,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P045,讲师排课,市场中心,教育部业务模块,04_市场中心,sjg_oms,education,education.teacher_schedule,education.teacher_schedule_item,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,教育研学,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P046,通知执行,行政中心,办公室综合行政模块,05_行政中心,sjg_oms,collaboration,collaboration.notice,collaboration.notice_item,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,协同办公,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P047,正式公文,行政中心,办公室综合行政模块,05_行政中心,sjg_oms,administration,administration.official_document,administration.official_document_item,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,行政办公,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P048,会议行动,行政中心,办公室综合行政模块,05_行政中心,sjg_oms,collaboration,collaboration.meeting,collaboration.meeting_item,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,协同办公,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P049,大型活动,行政中心,办公室综合行政模块,05_行政中心,sjg_oms,administration,administration.large_event,administration.large_event_item,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,行政办公,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P050,入库,行政中心,资产部业务模块,05_行政中心,sjg_oms,asset,asset.stock_in,,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,资产仓储,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P051,领借调还,行政中心,资产部业务模块,05_行政中心,sjg_oms,asset,asset.asset_use_transaction,,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,资产仓储,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P052,盘点,行政中心,资产部业务模块,05_行政中心,sjg_oms,asset,asset.stocktake,asset.stocktake_item,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,资产仓储,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P053,报废处置,行政中心,资产部业务模块,05_行政中心,sjg_oms,asset,asset.asset_disposal,,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,资产仓储,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P054,派车,行政中心,后勤部业务模块,05_行政中心,sjg_oms,fleet,fleet.vehicle_dispatch,,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,车辆管理,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P055,车辆事故,行政中心,后勤部业务模块,05_行政中心,sjg_oms,fleet,fleet.vehicle_incident,,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,车辆管理,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P056,宿舍入住退宿,行政中心,后勤部业务模块,05_行政中心,sjg_oms,dormitory,dormitory.stay_record,,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,宿舍管理,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P057,报修,行政中心,后勤部业务模块,05_行政中心,sjg_oms,maintenance,maintenance.repair_order,maintenance.repair_order_item,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,维修管理,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P058,团餐交付,行政中心,餐饮部业务模块,05_行政中心,sjg_oms,catering,catering.group_meal_order,catering.group_meal_order_item,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,餐饮管理,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P059,食材验收,行政中心,餐饮部业务模块,05_行政中心,sjg_oms,catering,catering.ingredient_acceptance,catering.ingredient_acceptance_item,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,餐饮管理,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P060,食品安全事件,行政中心,餐饮部业务模块,05_行政中心,sjg_oms,catering,catering.food_safety_incident,catering.food_safety_incident_item,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,餐饮管理,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P061,餐卡结算,行政中心,餐饮部业务模块,05_行政中心,sjg_oms,catering,catering.meal_card_settlement,catering.meal_card_settlement_item,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,餐饮管理,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P062,日常巡逻,物业中心,安保部业务模块,06_物业中心,sjg_oms,security,security.patrol_task,,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,安保管理,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P063,客流预警,物业中心,安保部业务模块,06_物业中心,sjg_oms,security,security.crowd_alert,,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,安保管理,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P064,安全事件,物业中心,安保部业务模块,06_物业中心,sjg_oms,security,security.security_incident,,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,安保管理,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P065,活动安保,物业中心,安保部业务模块,06_物业中心,sjg_oms,security,security.event_security_plan,,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,安保管理,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P066,日常清洁,物业中心,环卫部业务模块,06_物业中心,sjg_oms,cleaning,cleaning.cleaning_task,cleaning.cleaning_task_item,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,环卫管理,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P067,污染应急,物业中心,环卫部业务模块,06_物业中心,sjg_oms,cleaning,cleaning.pollution_incident,cleaning.pollution_incident_item,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,环卫管理,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P068,活动保障,物业中心,环卫部业务模块,06_物业中心,sjg_oms,cleaning,cleaning.event_support,cleaning.event_support_item,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,环卫管理,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P069,商户准入,物业中心,商管部业务模块,06_物业中心,sjg_oms,merchant,merchant.merchant_admission,merchant.merchant_admission_item,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,商管管理,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P070,日常巡检,物业中心,商管部业务模块,06_物业中心,sjg_oms,merchant,merchant.merchant_inspection,merchant.merchant_inspection_item,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,商管管理,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P071,退场,物业中心,商管部业务模块,06_物业中心,sjg_oms,merchant,merchant.merchant_exit,merchant.merchant_exit_item,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,商管管理,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P072,节目上线,演艺中心,表演部业务模块,07_演艺中心,sjg_oms,entertainment,entertainment.program,,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,演艺管理,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P073,场次执行,演艺中心,表演部业务模块,07_演艺中心,sjg_oms,entertainment,entertainment.show_session,entertainment.show_session_item,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,演艺管理,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P074,临时缺员,演艺中心,表演部业务模块,07_演艺中心,sjg_oms,entertainment,entertainment.staff_shortage,entertainment.staff_shortage_item,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,演艺管理,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P075,停演,演艺中心,表演部业务模块,07_演艺中心,sjg_oms,entertainment,entertainment.suspension_decision,entertainment.suspension_decision_item,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,演艺管理,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P076,场次准备,演艺中心,服化道业务模块,07_演艺中心,sjg_oms,costume,costume.session_preparation,,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,服化道,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P077,损坏报损,演艺中心,服化道业务模块,07_演艺中心,sjg_oms,costume,costume.damage_report,,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,服化道,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P078,盘点,演艺中心,服化道业务模块,07_演艺中心,sjg_oms,costume,costume.inventory_check,,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,服化道,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P079,飞行任务,演艺中心,无人机飞行部业务模块,07_演艺中心,sjg_oms,drone,drone.flight_task,drone.flight_task_item,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,无人机,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P080,任务取消,演艺中心,无人机飞行部业务模块,07_演艺中心,sjg_oms,drone,drone.flight_cancellation,drone.flight_cancellation_item,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,无人机,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P081,飞行事故,演艺中心,无人机飞行部业务模块,07_演艺中心,sjg_oms,drone,drone.flight_incident,drone.flight_incident_item,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,无人机,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P082,场次技术保障,演艺中心,演艺技术部业务模块,07_演艺中心,sjg_oms,entertainment,entertainment.tech_support_task,,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,演艺管理,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P083,设备故障,演艺中心,演艺技术部业务模块,07_演艺中心,sjg_oms,entertainment,entertainment.equipment_fault,entertainment.equipment_fault_item,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,演艺管理,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P084,停演技术建议,演艺中心,演艺技术部业务模块,07_演艺中心,sjg_oms,entertainment,entertainment.suspension_advice,,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,演艺管理,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
