database,schema,中文名称,边界/数据范围,跨域写入规则,负责人建议
sjg_oms,crm,客户渠道,客户、线索、商机、渠道伙伴,禁止跨Schema直接写；通过应用服务API或领域事件,客户渠道模块Owner
sjg_oms,devops,研发发布,需求、缺陷、构建、发布,禁止跨Schema直接写；通过应用服务API或领域事件,研发发布模块Owner
sjg_oms,document,文件签署,文件对象、附件关联、文档、电子签署,禁止跨Schema直接写；通过应用服务API或领域事件,文件签署模块Owner
sjg_oms,dormitory,宿舍管理,房间床位、入住退宿,禁止跨Schema直接写；通过应用服务API或领域事件,宿舍管理模块Owner
sjg_oms,drone,无人机,飞行任务、取消、事故、日志,禁止跨Schema直接写；通过应用服务API或领域事件,无人机模块Owner
sjg_oms,ecommerce,OTA电商,产品、订单、退款、评价客诉,禁止跨Schema直接写；通过应用服务API或领域事件,OTA电商模块Owner
sjg_oms,education,教育研学,课程、团队交付、讲师排课,禁止跨Schema直接写；通过应用服务API或领域事件,教育研学模块Owner
sjg_oms,entertainment,演艺管理,节目、场次、人员、技术保障、停演,禁止跨Schema直接写；通过应用服务API或领域事件,演艺管理模块Owner
sjg_oms,finance,财务管理,预算、报销、借款、对账、凭证引用,禁止跨Schema直接写；通过应用服务API或领域事件,财务管理模块Owner
sjg_oms,fleet,车辆管理,车辆、派车、事故,禁止跨Schema直接写；通过应用服务API或领域事件,车辆管理模块Owner
sjg_oms,hr,人力资源,人员生命周期、资料变更、晋升调岗离职,禁止跨Schema直接写；通过应用服务API或领域事件,人力资源模块Owner
sjg_oms,iam,身份权限,账户、身份、角色、权限、数据范围,禁止跨Schema直接写；通过应用服务API或领域事件,身份权限模块Owner
sjg_oms,integration,集成平台,接口、调用、重试、死信、导入任务,禁止跨Schema直接写；通过应用服务API或领域事件,集成平台模块Owner
sjg_oms,itops,IT运维,故障、变更、服务请求、演练,禁止跨Schema直接写；通过应用服务API或领域事件,IT运维模块Owner
sjg_oms,learning,学习考试,课程、任务、考试、资格,禁止跨Schema直接写；通过应用服务API或领域事件,学习考试模块Owner
sjg_oms,maintenance,维修管理,报修、工单、故障、验收,禁止跨Schema直接写；通过应用服务API或领域事件,维修管理模块Owner
sjg_oms,marketing,市场活动,活动、预算、触达与转化,禁止跨Schema直接写；通过应用服务API或领域事件,市场活动模块Owner
sjg_oms,mdm,主数据,客户、供应商、商户、产品、资产、位置,禁止跨Schema直接写；通过应用服务API或领域事件,主数据模块Owner
sjg_oms,media,新媒体,短视频、直播、投放、舆情,禁止跨Schema直接写；通过应用服务API或领域事件,新媒体模块Owner
sjg_oms,merchant,商管管理,商户准入、巡检、整改、退场,禁止跨Schema直接写；通过应用服务API或领域事件,商管管理模块Owner
sjg_oms,notification,消息通知,模板、消息、投递结果,禁止跨Schema直接写；通过应用服务API或领域事件,消息通知模块Owner
sjg_oms,org,组织人员,中心、部门、岗位、员工及任职,禁止跨Schema直接写；通过应用服务API或领域事件,组织人员模块Owner
sjg_oms,performance,绩效管理,周期、指标、评分、结果,禁止跨Schema直接写；通过应用服务API或领域事件,绩效管理模块Owner
sjg_oms,planning,策划项目,项目、方案变更、活动移交,禁止跨Schema直接写；通过应用服务API或领域事件,策划项目模块Owner
sjg_oms,procurement,采购管理,采购、紧急采购、退换货、供应商协同,禁止跨Schema直接写；通过应用服务API或领域事件,采购管理模块Owner
sjg_oms,reception,接待运营,接待、变更、导游、客诉,禁止跨Schema直接写；通过应用服务API或领域事件,接待运营模块Owner
sjg_oms,reward,奖惩积分,奖励、纪律、积分账户与流水,禁止跨Schema直接写；通过应用服务API或领域事件,奖惩积分模块Owner
sjg_oms,sales,销售运营,线索、成交、二销、移交,禁止跨Schema直接写；通过应用服务API或领域事件,销售运营模块Owner
sjg_oms,security,安保管理,巡逻、客流、安全事件、活动安保,禁止跨Schema直接写；通过应用服务API或领域事件,安保管理模块Owner
sjg_oms,ticketing,票务服务,订单、票码、检票、退款改签,禁止跨Schema直接写；通过应用服务API或领域事件,票务服务模块Owner
sjg_oms,welfare,福利关怀,福利政策与关怀事项,禁止跨Schema直接写；通过应用服务API或领域事件,福利关怀模块Owner
sjg_oms,workflow,流程内核,定义、版本、节点、实例、任务、表单、规则、编排,禁止跨Schema直接写；通过应用服务API或领域事件,流程内核模块Owner
