数据库,Schema,表名,表中文名,表类型,字段序号,字段名,字段中文名,PostgreSQL类型,允许空,默认值,主键,唯一,外键,敏感级别,业务/校验规则,字段来源,关联流程
sjg_oms,administration,official_document,正式公文主表,主表,10,updated_at,更新时间,timestamptz,否,now(),否,否,,P1-内部,,设计字段,P047
sjg_oms,administration,official_document,正式公文主表,主表,11,is_deleted,逻辑删除,boolean,否,false,否,否,,P1-内部,,设计字段,P047
sjg_oms,administration,official_document,正式公文主表,主表,12,deleted_at,删除时间,timestamptz,是,,否,否,,P1-内部,,设计字段,P047
sjg_oms,administration,official_document,正式公文主表,主表,13,source_channel,来源渠道,varchar(32),是,,否,否,,P1-内部,,设计字段,P047
sjg_oms,administration,official_document,正式公文主表,主表,14,business_date,业务日期,date,是,,否,否,,P1-内部,,设计字段,P047
sjg_oms,administration,official_document,正式公文主表,主表,15,subject,主题,varchar(255),是,,否,否,,P1-内部,,设计字段,P047
sjg_oms,administration,official_document,正式公文主表,主表,16,reason,原因,text,是,,否,否,,P1-内部,,设计字段,P047
sjg_oms,administration,official_document,正式公文主表,主表,17,priority,优先级,varchar(16),否,'NORMAL',否,否,,P1-内部,,设计字段,P047
sjg_oms,administration,official_document,正式公文主表,主表,18,risk_level,风险等级,varchar(16),是,,否,否,,P1-内部,,设计字段,P047
sjg_oms,administration,official_document,正式公文主表,主表,19,owner_center_id,归属中心,uuid,是,,否,否,org.organization.id,P1-内部,,设计字段,P047
sjg_oms,administration,official_document,正式公文主表,主表,20,owner_department_id,归属部门,uuid,是,,否,否,org.organization.id,P1-内部,,设计字段,P047
sjg_oms,administration,official_document,正式公文主表,主表,21,owner_employee_id,责任人,uuid,是,,否,否,org.employee.id,P1-内部,,设计字段,P047
sjg_oms,administration,official_document,正式公文主表,主表,22,planned_start_at,计划开始,timestamptz,是,,否,否,,P1-内部,,设计字段,P047
sjg_oms,administration,official_document,正式公文主表,主表,23,planned_finish_at,计划完成,timestamptz,是,,否,否,,P1-内部,,设计字段,P047
sjg_oms,administration,official_document,正式公文主表,主表,24,actual_start_at,实际开始,timestamptz,是,,否,否,,P1-内部,,设计字段,P047
sjg_oms,administration,official_document,正式公文主表,主表,25,actual_end_at,实际完成,timestamptz,是,,否,否,,P1-内部,,设计字段,P047
sjg_oms,administration,official_document,正式公文主表,主表,26,result_summary,结果摘要,text,是,,否,否,,P1-内部,,设计字段,P047
sjg_oms,administration,official_document,正式公文主表,主表,27,closed_at,关闭时间,timestamptz,是,,否,否,,P1-内部,,设计字段,P047
sjg_oms,administration,official_document,正式公文主表,主表,28,actual_amount,实际金额,"numeric(18,2)",是,,否,否,,P1-内部,,原始流程字段,P047
sjg_oms,administration,official_document,正式公文主表,主表,29,document_type,文档类型,varchar(64),否,,否,否,,P1-内部,,原始流程字段,P047
sjg_oms,administration,official_document,正式公文主表,主表,30,issuer_host_id,签发/主持人,varchar(32),是,,否,否,,P1-内部,,原始流程字段,P047
sjg_oms,administration,official_document,正式公文主表,主表,31,official_content,正文/议题内容,text,否,,否,否,,P1-内部,,原始流程字段,P047
sjg_oms,administration,official_document,正式公文主表,主表,32,official_subject,事项标题,varchar(200),否,,否,否,,P1-内部,,原始流程字段,P047
sjg_oms,administration,official_document,正式公文主表,主表,33,official_type,事项类型,varchar(64),否,,否,否,,P1-内部,,原始流程字段,P047
sjg_oms,administration,official_document,正式公文主表,主表,34,publish_meeting_at,发布/召开时间,timestamptz,是,,否,否,,P1-内部,,原始流程字段,P047
sjg_oms,administration,official_document,正式公文主表,主表,35,venue_channel,地点/发布渠道,varchar(500),是,,否,否,,P1-内部,,原始流程字段,P047
sjg_oms,administration,official_document,正式公文主表,主表,36,visibility_level,密级/可见范围,varchar(64),否,,否,否,,P1-内部,,原始流程字段,P047
sjg_oms,administration,official_document_item,正式公文明细项,子表,1,id,主键ID,uuid,否,gen_random_uuid(),是,否,,P1-内部,,设计字段,P047
sjg_oms,administration,official_document_item,正式公文明细项,子表,2,tenant_id,租户ID,uuid,否,,否,否,core.tenant.id,P1-内部,所有业务唯一键必须包含tenant_id,设计字段,P047
sjg_oms,administration,official_document_item,正式公文明细项,子表,3,created_by,创建人,uuid,是,,否,否,org.employee.id,P1-内部,,设计字段,P047
sjg_oms,administration,official_document_item,正式公文明细项,子表,4,created_at,创建时间,timestamptz,否,now(),否,否,,P1-内部,,设计字段,P047
sjg_oms,administration,official_document_item,正式公文明细项,子表,5,updated_by,更新人,uuid,是,,否,否,org.employee.id,P1-内部,,设计字段,P047
sjg_oms,administration,official_document_item,正式公文明细项,子表,6,updated_at,更新时间,timestamptz,否,now(),否,否,,P1-内部,,设计字段,P047
sjg_oms,administration,official_document_item,正式公文明细项,子表,7,is_deleted,逻辑删除,boolean,否,false,否,否,,P1-内部,,设计字段,P047
sjg_oms,administration,official_document_item,正式公文明细项,子表,8,deleted_at,删除时间,timestamptz,是,,否,否,,P1-内部,,设计字段,P047
sjg_oms,administration,official_document_item,正式公文明细项,子表,9,master_id,主表ID,uuid,否,,否,否,administration.official_document.id,P1-内部,,设计字段,P047
sjg_oms,administration,official_document_item,正式公文明细项,子表,10,field_code,来源字段编码,varchar(128),否,,否,否,,P1-内部,,设计字段,P047
sjg_oms,administration,official_document_item,正式公文明细项,子表,11,item_seq,明细序号,integer,否,0,否,否,,P1-内部,,设计字段,P047
sjg_oms,administration,official_document_item,正式公文明细项,子表,12,item_key,明细键,varchar(128),是,,否,否,,P1-内部,,设计字段,P047
sjg_oms,administration,official_document_item,正式公文明细项,子表,13,item_name,明细名称,varchar(255),是,,否,否,,P1-内部,,设计字段,P047
sjg_oms,administration,official_document_item,正式公文明细项,子表,14,item_value_text,文本值,text,是,,否,否,,P1-内部,,设计字段,P047
sjg_oms,administration,official_document_item,正式公文明细项,子表,15,item_value_number,数值,"numeric(24,8)",是,,否,否,,P1-内部,,设计字段,P047
sjg_oms,administration,official_document_item,正式公文明细项,子表,16,item_value_json,结构化值,jsonb,是,,否,否,,P1-内部,,设计字段,P047
sjg_oms,administration,official_document_item,正式公文明细项,子表,17,related_object_type,关联对象类型,varchar(128),是,,否,否,,P1-内部,,设计字段,P047
sjg_oms,administration,official_document_item,正式公文明细项,子表,18,related_object_id,关联对象ID,uuid,是,,否,否,,P1-内部,,设计字段,P047
sjg_oms,administration,official_document_item,正式公文明细项,子表,19,amount,金额,"numeric(18,2)",是,,否,否,,P1-内部,,设计字段,P047
sjg_oms,administration,official_document_item,正式公文明细项,子表,20,quantity,数量,"numeric(18,6)",是,,否,否,,P1-内部,,设计字段,P047
sjg_oms,administration,official_document_item,正式公文明细项,子表,21,sort_no,排序,integer,否,0,否,否,,P1-内部,,设计字段,P047
sjg_dw,analytics,dim_date,日期维度,维度表,1,date_key,日期键,integer,否,,是,否,,P1-内部,,设计字段,
sjg_dw,analytics,dim_date,日期维度,维度表,2,full_date,完整日期,date,否,,否,否,,P1-内部,,设计字段,
sjg_dw,analytics,dim_date,日期维度,维度表,3,year,年,smallint,否,,否,否,,P1-内部,,设计字段,
sjg_dw,analytics,dim_date,日期维度,维度表,4,month,月,smallint,否,,否,否,,P1-内部,,设计字段,
sjg_dw,analytics,dim_date,日期维度,维度表,5,day,日,smallint,否,,否,否,,P1-内部,,设计字段,
sjg_dw,analytics,dim_date,日期维度,维度表,6,week_of_year,周,smallint,否,,否,否,,P1-内部,,设计字段,
sjg_dw,analytics,dim_date,日期维度,维度表,7,is_workday,是否工作日,boolean,否,,否,否,,P1-内部,,设计字段,
sjg_dw,analytics,dim_employee,员工维度,维度表,1,employee_key,代理键,bigserial,否,,是,否,,P1-内部,,设计字段,
sjg_dw,analytics,dim_employee,员工维度,维度表,2,employee_id,源员工ID,uuid,否,,否,否,,P1-内部,,设计字段,
sjg_dw,analytics,dim_employee,员工维度,维度表,3,employee_no,员工编号,varchar(64),否,,否,否,,P1-内部,,设计字段,
sjg_dw,analytics,dim_employee,员工维度,维度表,4,employee_name_masked,脱敏姓名,varchar(128),是,,否,否,,P1-内部,,设计字段,
sjg_dw,analytics,dim_employee,员工维度,维度表,5,org_id,组织ID,uuid,是,,否,否,,P1-内部,,设计字段,
sjg_dw,analytics,dim_employee,员工维度,维度表,6,position_id,岗位ID,uuid,是,,否,否,,P1-内部,,设计字段,
sjg_dw,analytics,dim_employee,员工维度,维度表,7,valid_from,有效开始,timestamptz,否,,否,否,,P1-内部,,设计字段,
sjg_dw,analytics,dim_employee,员工维度,维度表,8,valid_to,有效结束,timestamptz,是,,否,否,,P1-内部,,设计字段,
sjg_dw,analytics,dim_employee,员工维度,维度表,9,is_current,当前版本,boolean,否,,否,否,,P1-内部,,设计字段,
sjg_dw,analytics,dim_org,组织维度,维度表,1,org_key,代理键,bigserial,否,,是,否,,P1-内部,,设计字段,
sjg_dw,analytics,dim_org,组织维度,维度表,2,org_id,源组织ID,uuid,否,,否,否,,P1-内部,,设计字段,
sjg_dw,analytics,dim_org,组织维度,维度表,3,org_code,组织编码,varchar(64),否,,否,否,,P1-内部,,设计字段,
sjg_dw,analytics,dim_org,组织维度,维度表,4,org_name,组织名称,varchar(128),否,,否,否,,P1-内部,,设计字段,
sjg_dw,analytics,dim_org,组织维度,维度表,5,org_path,组织路径,text,是,,否,否,,P1-内部,,设计字段,
sjg_dw,analytics,dim_org,组织维度,维度表,6,valid_from,有效开始,timestamptz,否,,否,否,,P1-内部,,设计字段,
sjg_dw,analytics,dim_org,组织维度,维度表,7,valid_to,有效结束,timestamptz,是,,否,否,,P1-内部,,设计字段,
sjg_dw,analytics,dim_org,组织维度,维度表,8,is_current,当前版本,boolean,否,,否,否,,P1-内部,,设计字段,
sjg_dw,analytics,dim_process,流程维度,维度表,1,process_key,代理键,integer,否,,是,否,,P1-内部,,设计字段,
sjg_dw,analytics,dim_process,流程维度,维度表,2,process_code,流程编码,varchar(16),否,,否,否,,P1-内部,,设计字段,
sjg_dw,analytics,dim_process,流程维度,维度表,3,process_name,流程名称,varchar(128),否,,否,否,,P1-内部,,设计字段,
sjg_dw,analytics,dim_process,流程维度,维度表,4,module_name,模块名称,varchar(128),否,,否,否,,P1-内部,,设计字段,
sjg_dw,analytics,dim_process,流程维度,维度表,5,owner_schema,归属Schema,varchar(64),否,,否,否,,P1-内部,,设计字段,
sjg_dw,analytics,fact_finance,财务事实表,事实表,1,tenant_id,租户ID,uuid,否,,否,否,,P1-内部,,设计字段,
sjg_dw,analytics,fact_finance,财务事实表,事实表,2,date_key,日期键,integer,否,,否,否,,P1-内部,,设计字段,
sjg_dw,analytics,fact_finance,财务事实表,事实表,3,org_key,组织键,bigint,是,,否,否,,P1-内部,,设计字段,
sjg_dw,analytics,fact_finance,财务事实表,事实表,4,business_type,业务类型,varchar(32),否,,否,否,,P1-内部,,设计字段,
sjg_dw,analytics,fact_finance,财务事实表,事实表,5,business_id,业务ID,uuid,否,,否,否,,P1-内部,,设计字段,
sjg_dw,analytics,fact_finance,财务事实表,事实表,6,requested_amount,申请金额,"numeric(18,2)",是,,否,否,,P1-内部,,设计字段,
sjg_dw,analytics,fact_finance,财务事实表,事实表,7,approved_amount,批准金额,"numeric(18,2)",是,,否,否,,P1-内部,,设计字段,
sjg_dw,analytics,fact_finance,财务事实表,事实表,8,actual_amount,实际金额,"numeric(18,2)",是,,否,否,,P1-内部,,设计字段,
sjg_dw,analytics,fact_finance,财务事实表,事实表,9,currency,币种,varchar(3),否,'CNY',否,否,,P1-内部,,设计字段,
sjg_dw,analytics,fact_finance,财务事实表,事实表,10,recorded_at,入仓时间,timestamptz,否,now(),否,否,,P1-内部,,设计字段,
sjg_dw,analytics,fact_service_delivery,服务交付事实表,事实表,1,tenant_id,租户ID,uuid,否,,否,否,,P1-内部,,设计字段,
sjg_dw,analytics,fact_service_delivery,服务交付事实表,事实表,2,date_key,日期键,integer,否,,否,否,,P1-内部,,设计字段,
sjg_dw,analytics,fact_service_delivery,服务交付事实表,事实表,3,service_type,服务类型,varchar(64),否,,否,否,,P1-内部,,设计字段,
sjg_dw,analytics,fact_service_delivery,服务交付事实表,事实表,4,business_id,业务ID,uuid,否,,否,否,,P1-内部,,设计字段,
sjg_dw,analytics,fact_service_delivery,服务交付事实表,事实表,5,customer_id,客户ID,uuid,是,,否,否,,P1-内部,,设计字段,
sjg_dw,analytics,fact_service_delivery,服务交付事实表,事实表,6,guest_count,人数,integer,是,,否,否,,P1-内部,,设计字段,
sjg_dw,analytics,fact_service_delivery,服务交付事实表,事实表,7,revenue_amount,收入金额,"numeric(18,2)",是,,否,否,,P1-内部,,设计字段,
sjg_dw,analytics,fact_service_delivery,服务交付事实表,事实表,8,satisfaction_score,满意度,"numeric(6,2)",是,,否,否,,P1-内部,,设计字段,
sjg_dw,analytics,fact_service_delivery,服务交付事实表,事实表,9,complaint_count,客诉数,integer,否,0,否,否,,P1-内部,,设计字段,
sjg_dw,analytics,fact_service_delivery,服务交付事实表,事实表,10,recorded_at,入仓时间,timestamptz,否,now(),否,否,,P1-内部,,设计字段,
sjg_dw,analytics,fact_workflow,流程事实表,事实表,1,tenant_id,租户ID,uuid,否,,否,否,,P1-内部,,设计字段,
sjg_dw,analytics,fact_workflow,流程事实表,事实表,2,date_key,日期键,integer,否,,否,否,,P1-内部,,设计字段,
sjg_dw,analytics,fact_workflow,流程事实表,事实表,3,process_key,流程键,integer,否,,否,否,,P1-内部,,设计字段,
sjg_dw,analytics,fact_workflow,流程事实表,事实表,4,initiator_employee_key,发起人员工键,bigint,是,,否,否,,P1-内部,,设计字段,
sjg_dw,analytics,fact_workflow,流程事实表,事实表,5,owner_org_key,归属组织键,bigint,是,,否,否,,P1-内部,,设计字段,
sjg_dw,analytics,fact_workflow,流程事实表,事实表,6,instance_id,实例ID,uuid,否,,否,否,,P1-内部,,设计字段,
sjg_dw,analytics,fact_workflow,流程事实表,事实表,7,status,状态,varchar(32),否,,否,否,,P1-内部,,设计字段,
sjg_dw,analytics,fact_workflow,流程事实表,事实表,8,duration_minutes,耗时分钟,"numeric(18,2)",是,,否,否,,P1-内部,,设计字段,
sjg_dw,analytics,fact_workflow,流程事实表,事实表,9,sla_breached,是否超时,boolean,否,,否,否,,P1-内部,,设计字段,
sjg_dw,analytics,fact_workflow,流程事实表,事实表,10,return_count,退回次数,integer,否,0,否,否,,P1-内部,,设计字段,
sjg_dw,analytics,fact_workflow,流程事实表,事实表,11,amount,金额,"numeric(18,2)",是,,否,否,,P1-内部,,设计字段,
sjg_dw,analytics,fact_workflow,流程事实表,事实表,12,recorded_at,入仓时间,timestamptz,否,now(),否,否,,P1-内部,,设计字段,
sjg_oms,archive,archive_package,归档包主表,主表,1,id,主键ID,uuid,否,gen_random_uuid(),是,否,,P1-内部,,设计字段,P031
sjg_oms,archive,archive_package,归档包主表,主表,2,tenant_id,租户ID,uuid,否,,否,否,core.tenant.id,P1-内部,所有业务唯一键必须包含tenant_id,设计字段,P031
sjg_oms,archive,archive_package,归档包主表,主表,3,business_no,业务单号,varchar(64),否,,否,是,,P1-内部,租户内唯一；由core.sequence_rule生成,设计字段,P031
sjg_oms,archive,archive_package,归档包主表,主表,4,workflow_instance_id,流程实例ID,uuid,是,,否,否,workflow.wf_instance.id,P1-内部,,设计字段,P031
sjg_oms,archive,archive_package,归档包主表,主表,5,status,业务状态,varchar(32),否,'DRAFT',否,否,,P1-内部,仅由状态机合法迁移,设计字段,P031
sjg_oms,archive,archive_package,归档包主表,主表,6,version_no,乐观锁版本,integer,否,0,否,否,,P1-内部,更新时version_no+1，冲突则拒绝,设计字段,P031
sjg_oms,archive,archive_package,归档包主表,主表,7,created_by,创建人,uuid,是,,否,否,org.employee.id,P1-内部,,设计字段,P031
sjg_oms,archive,archive_package,归档包主表,主表,8,created_at,创建时间,timestamptz,否,now(),否,否,,P1-内部,,设计字段,P031
sjg_oms,archive,archive_package,归档包主表,主表,9,updated_by,更新人,uuid,是,,否,否,org.employee.id,P1-内部,,设计字段,P031
sjg_oms,archive,archive_package,归档包主表,主表,10,updated_at,更新时间,timestamptz,否,now(),否,否,,P1-内部,,设计字段,P031
sjg_oms,archive,archive_package,归档包主表,主表,11,is_deleted,逻辑删除,boolean,否,false,否,否,,P1-内部,,设计字段,P031
sjg_oms,archive,archive_package,归档包主表,主表,12,deleted_at,删除时间,timestamptz,是,,否,否,,P1-内部,,设计字段,P031
sjg_oms,archive,archive_package,归档包主表,主表,13,source_channel,来源渠道,varchar(32),是,,否,否,,P1-内部,,设计字段,P031
sjg_oms,archive,archive_package,归档包主表,主表,14,business_date,业务日期,date,是,,否,否,,P1-内部,,设计字段,P031
sjg_oms,archive,archive_package,归档包主表,主表,15,subject,主题,varchar(255),是,,否,否,,P1-内部,,设计字段,P031
sjg_oms,archive,archive_package,归档包主表,主表,16,reason,原因,text,是,,否,否,,P1-内部,,设计字段,P031
sjg_oms,archive,archive_package,归档包主表,主表,17,priority,优先级,varchar(16),否,'NORMAL',否,否,,P1-内部,,设计字段,P031
sjg_oms,archive,archive_package,归档包主表,主表,18,risk_level,风险等级,varchar(16),是,,否,否,,P1-内部,,设计字段,P031
sjg_oms,archive,archive_package,归档包主表,主表,19,owner_center_id,归属中心,uuid,是,,否,否,org.organization.id,P1-内部,,设计字段,P031
sjg_oms,archive,archive_package,归档包主表,主表,20,owner_department_id,归属部门,uuid,是,,否,否,org.organization.id,P1-内部,,设计字段,P031
sjg_oms,archive,archive_package,归档包主表,主表,21,owner_employee_id,责任人,uuid,是,,否,否,org.employee.id,P1-内部,,设计字段,P031
sjg_oms,archive,archive_package,归档包主表,主表,22,planned_start_at,计划开始,timestamptz,是,,否,否,,P1-内部,,设计字段,P031
