source_table,source_column,target_table,target_column,relation_type,on_delete,note
archive.archive_package_item,master_id,archive.archive_package,id,N:1,CASCADE,明细随主记录逻辑删除
archive.borrow_request_item,master_id,archive.borrow_request,id,N:1,CASCADE,明细随主记录逻辑删除
archive.disposal_appraisal_item,master_id,archive.disposal_appraisal,id,N:1,CASCADE,明细随主记录逻辑删除
procurement.purchase_request_item,master_id,procurement.purchase_request,id,N:1,CASCADE,明细随主记录逻辑删除
procurement.emergency_purchase_item,master_id,procurement.emergency_purchase,id,N:1,CASCADE,明细随主记录逻辑删除
procurement.purchase_return_item,master_id,procurement.purchase_return,id,N:1,CASCADE,明细随主记录逻辑删除
ticketing.ticket_order_item,master_id,ticketing.ticket_order,id,N:1,CASCADE,明细随主记录逻辑删除
ticketing.ticket_refund_change_item,master_id,ticketing.ticket_refund_change,id,N:1,CASCADE,明细随主记录逻辑删除
ticketing.offline_check_event_item,master_id,ticketing.offline_check_event,id,N:1,CASCADE,明细随主记录逻辑删除
crm.opportunity_item,master_id,crm.opportunity,id,N:1,CASCADE,明细随主记录逻辑删除
marketing.campaign_item,master_id,marketing.campaign,id,N:1,CASCADE,明细随主记录逻辑删除
crm.channel_partner_item,master_id,crm.channel_partner,id,N:1,CASCADE,明细随主记录逻辑删除
education.teacher_schedule_item,master_id,education.teacher_schedule,id,N:1,CASCADE,明细随主记录逻辑删除
administration.official_document_item,master_id,administration.official_document,id,N:1,CASCADE,明细随主记录逻辑删除
administration.large_event_item,master_id,administration.large_event,id,N:1,CASCADE,明细随主记录逻辑删除
asset.stocktake_item,master_id,asset.stocktake,id,N:1,CASCADE,明细随主记录逻辑删除
maintenance.repair_order_item,master_id,maintenance.repair_order,id,N:1,CASCADE,明细随主记录逻辑删除
catering.group_meal_order_item,master_id,catering.group_meal_order,id,N:1,CASCADE,明细随主记录逻辑删除
catering.ingredient_acceptance_item,master_id,catering.ingredient_acceptance,id,N:1,CASCADE,明细随主记录逻辑删除
catering.food_safety_incident_item,master_id,catering.food_safety_incident,id,N:1,CASCADE,明细随主记录逻辑删除
catering.meal_card_settlement_item,master_id,catering.meal_card_settlement,id,N:1,CASCADE,明细随主记录逻辑删除
cleaning.cleaning_task_item,master_id,cleaning.cleaning_task,id,N:1,CASCADE,明细随主记录逻辑删除
cleaning.pollution_incident_item,master_id,cleaning.pollution_incident,id,N:1,CASCADE,明细随主记录逻辑删除
cleaning.event_support_item,master_id,cleaning.event_support,id,N:1,CASCADE,明细随主记录逻辑删除
merchant.merchant_admission_item,master_id,merchant.merchant_admission,id,N:1,CASCADE,明细随主记录逻辑删除
merchant.merchant_inspection_item,master_id,merchant.merchant_inspection,id,N:1,CASCADE,明细随主记录逻辑删除
merchant.merchant_exit_item,master_id,merchant.merchant_exit,id,N:1,CASCADE,明细随主记录逻辑删除
entertainment.show_session_item,master_id,entertainment.show_session,id,N:1,CASCADE,明细随主记录逻辑删除
entertainment.staff_shortage_item,master_id,entertainment.staff_shortage,id,N:1,CASCADE,明细随主记录逻辑删除
entertainment.suspension_decision_item,master_id,entertainment.suspension_decision,id,N:1,CASCADE,明细随主记录逻辑删除
drone.flight_task_item,master_id,drone.flight_task,id,N:1,CASCADE,明细随主记录逻辑删除
drone.flight_cancellation_item,master_id,drone.flight_cancellation,id,N:1,CASCADE,明细随主记录逻辑删除
drone.flight_incident_item,master_id,drone.flight_incident,id,N:1,CASCADE,明细随主记录逻辑删除
entertainment.equipment_fault_item,master_id,entertainment.equipment_fault,id,N:1,CASCADE,明细随主记录逻辑删除
itops.network_incident_item,master_id,itops.network_incident,id,N:1,CASCADE,明细随主记录逻辑删除
itops.network_change_item,master_id,itops.network_change,id,N:1,CASCADE,明细随主记录逻辑删除
itops.event_support_item,master_id,itops.event_support,id,N:1,CASCADE,明细随主记录逻辑删除
itops.service_request_item,master_id,itops.service_request,id,N:1,CASCADE,明细随主记录逻辑删除
devops.release_item,master_id,devops.release,id,N:1,CASCADE,明细随主记录逻辑删除
iam.account_execution_item,master_id,iam.account_execution,id,N:1,CASCADE,明细随主记录逻辑删除
itops.recovery_drill_item,master_id,itops.recovery_drill,id,N:1,CASCADE,明细随主记录逻辑删除
devops.requirement_item,master_id,devops.requirement,id,N:1,CASCADE,明细随主记录逻辑删除
devops.defect_item,master_id,devops.defect,id,N:1,CASCADE,明细随主记录逻辑删除
content.material_request_item,master_id,content.material_request,id,N:1,CASCADE,明细随主记录逻辑删除
content.shooting_task_item,master_id,content.shooting_task,id,N:1,CASCADE,明细随主记录逻辑删除
content.change_request_item,master_id,content.change_request,id,N:1,CASCADE,明细随主记录逻辑删除
planning.project_item,master_id,planning.project,id,N:1,CASCADE,明细随主记录逻辑删除
planning.change_request_item,master_id,planning.change_request,id,N:1,CASCADE,明细随主记录逻辑删除
planning.event_handover_item,master_id,planning.event_handover,id,N:1,CASCADE,明细随主记录逻辑删除
ecommerce.product_listing_item,master_id,ecommerce.product_listing,id,N:1,CASCADE,明细随主记录逻辑删除
ecommerce.ota_order_item,master_id,ecommerce.ota_order,id,N:1,CASCADE,明细随主记录逻辑删除
ecommerce.refund_order_item,master_id,ecommerce.refund_order,id,N:1,CASCADE,明细随主记录逻辑删除
ecommerce.review_complaint_item,master_id,ecommerce.review_complaint,id,N:1,CASCADE,明细随主记录逻辑删除
media.short_video_release_item,master_id,media.short_video_release,id,N:1,CASCADE,明细随主记录逻辑删除
media.live_session_item,master_id,media.live_session,id,N:1,CASCADE,明细随主记录逻辑删除
media.ad_campaign_item,master_id,media.ad_campaign,id,N:1,CASCADE,明细随主记录逻辑删除
media.public_opinion_case_item,master_id,media.public_opinion_case,id,N:1,CASCADE,明细随主记录逻辑删除
brand.authorization_item,master_id,brand.authorization,id,N:1,CASCADE,明细随主记录逻辑删除
brand.material_review_item,master_id,brand.material_review,id,N:1,CASCADE,明细随主记录逻辑删除
brand.infringement_case_item,master_id,brand.infringement_case,id,N:1,CASCADE,明细随主记录逻辑删除
reception.reception_order_item,master_id,reception.reception_order,id,N:1,CASCADE,明细随主记录逻辑删除
reception.change_request_item,master_id,reception.change_request,id,N:1,CASCADE,明细随主记录逻辑删除
reception.guide_execution_item,master_id,reception.guide_execution,id,N:1,CASCADE,明细随主记录逻辑删除
sales.lead_item,master_id,sales.lead,id,N:1,CASCADE,明细随主记录逻辑删除
sales.deal_item,master_id,sales.deal,id,N:1,CASCADE,明细随主记录逻辑删除
sales.secondary_sale_item,master_id,sales.secondary_sale,id,N:1,CASCADE,明细随主记录逻辑删除
sales.customer_handover_item,master_id,sales.customer_handover,id,N:1,CASCADE,明细随主记录逻辑删除
workflow.wf_orchestration_instance_item,master_id,workflow.wf_orchestration_instance,id,N:1,CASCADE,明细随主记录逻辑删除
core.dictionary,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
core.dictionary,created_by,org.employee,id,N:1,RESTRICT,字段级外键
core.dictionary,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
core.dictionary_item,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
core.dictionary_item,created_by,org.employee,id,N:1,RESTRICT,字段级外键
core.dictionary_item,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
core.dictionary_item,dictionary_id,core.dictionary,id,N:1,RESTRICT,字段级外键
core.sequence_rule,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
core.sequence_rule,created_by,org.employee,id,N:1,RESTRICT,字段级外键
core.sequence_rule,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
core.idempotency_record,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
core.idempotency_record,created_by,org.employee,id,N:1,RESTRICT,字段级外键
core.idempotency_record,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
core.outbox_event,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
core.outbox_event,created_by,org.employee,id,N:1,RESTRICT,字段级外键
core.outbox_event,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
core.inbox_event,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
core.inbox_event,created_by,org.employee,id,N:1,RESTRICT,字段级外键
core.inbox_event,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
iam.user_account,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
iam.user_account,created_by,org.employee,id,N:1,RESTRICT,字段级外键
iam.user_account,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
iam.user_identity,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
iam.user_identity,created_by,org.employee,id,N:1,RESTRICT,字段级外键
iam.user_identity,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
iam.user_identity,user_id,iam.user_account,id,N:1,RESTRICT,字段级外键
iam.user_identity,employee_id,org.employee,id,N:1,RESTRICT,字段级外键
iam.user_identity,org_id,org.organization,id,N:1,RESTRICT,字段级外键
iam.user_identity,position_id,org.position,id,N:1,RESTRICT,字段级外键
iam.role,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
iam.role,created_by,org.employee,id,N:1,RESTRICT,字段级外键
iam.role,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
iam.permission,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
iam.permission,created_by,org.employee,id,N:1,RESTRICT,字段级外键
iam.permission,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
iam.role_permission,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
iam.role_permission,created_by,org.employee,id,N:1,RESTRICT,字段级外键
iam.role_permission,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
iam.role_permission,role_id,iam.role,id,N:1,RESTRICT,字段级外键
iam.role_permission,permission_id,iam.permission,id,N:1,RESTRICT,字段级外键
iam.user_role,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
iam.user_role,created_by,org.employee,id,N:1,RESTRICT,字段级外键
iam.user_role,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
iam.user_role,user_id,iam.user_account,id,N:1,RESTRICT,字段级外键
iam.user_role,identity_id,iam.user_identity,id,N:1,RESTRICT,字段级外键
iam.user_role,role_id,iam.role,id,N:1,RESTRICT,字段级外键
iam.data_scope_rule,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
iam.data_scope_rule,created_by,org.employee,id,N:1,RESTRICT,字段级外键
iam.data_scope_rule,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
org.organization,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
org.organization,created_by,org.employee,id,N:1,RESTRICT,字段级外键
org.organization,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
org.organization,parent_id,org.organization,id,N:1,RESTRICT,字段级外键
org.position,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
org.position,created_by,org.employee,id,N:1,RESTRICT,字段级外键
org.position,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
org.position,org_id,org.organization,id,N:1,RESTRICT,字段级外键
org.employee,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
org.employee,created_by,org.employee,id,N:1,RESTRICT,字段级外键
org.employee,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
org.employee,primary_org_id,org.organization,id,N:1,RESTRICT,字段级外键
org.employee,primary_position_id,org.position,id,N:1,RESTRICT,字段级外键
org.employee_position,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
org.employee_position,created_by,org.employee,id,N:1,RESTRICT,字段级外键
org.employee_position,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
org.employee_position,employee_id,org.employee,id,N:1,RESTRICT,字段级外键
org.employee_position,position_id,org.position,id,N:1,RESTRICT,字段级外键
org.employee_position,org_id,org.organization,id,N:1,RESTRICT,字段级外键
mdm.customer,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
mdm.customer,created_by,org.employee,id,N:1,RESTRICT,字段级外键
mdm.customer,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
mdm.supplier,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
mdm.supplier,created_by,org.employee,id,N:1,RESTRICT,字段级外键
mdm.supplier,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
mdm.merchant,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
mdm.merchant,created_by,org.employee,id,N:1,RESTRICT,字段级外键
mdm.merchant,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
mdm.product,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
mdm.product,created_by,org.employee,id,N:1,RESTRICT,字段级外键
mdm.product,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
mdm.asset,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
mdm.asset,created_by,org.employee,id,N:1,RESTRICT,字段级外键
mdm.asset,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
mdm.location,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
mdm.location,created_by,org.employee,id,N:1,RESTRICT,字段级外键
mdm.location,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
workflow.wf_definition,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
workflow.wf_definition,created_by,org.employee,id,N:1,RESTRICT,字段级外键
workflow.wf_definition,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
workflow.wf_version,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
workflow.wf_version,created_by,org.employee,id,N:1,RESTRICT,字段级外键
workflow.wf_version,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
workflow.wf_version,definition_id,workflow.wf_definition,id,N:1,RESTRICT,字段级外键
workflow.wf_node,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
workflow.wf_node,created_by,org.employee,id,N:1,RESTRICT,字段级外键
workflow.wf_node,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
workflow.wf_node,version_id,workflow.wf_version,id,N:1,RESTRICT,字段级外键
workflow.wf_transition,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
workflow.wf_transition,created_by,org.employee,id,N:1,RESTRICT,字段级外键
workflow.wf_transition,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
workflow.wf_transition,version_id,workflow.wf_version,id,N:1,RESTRICT,字段级外键
workflow.wf_instance,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
workflow.wf_instance,created_by,org.employee,id,N:1,RESTRICT,字段级外键
workflow.wf_instance,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
workflow.wf_instance,definition_id,workflow.wf_definition,id,N:1,RESTRICT,字段级外键
workflow.wf_instance,version_id,workflow.wf_version,id,N:1,RESTRICT,字段级外键
workflow.wf_instance,initiator_id,org.employee,id,N:1,RESTRICT,字段级外键
workflow.wf_task,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
workflow.wf_task,created_by,org.employee,id,N:1,RESTRICT,字段级外键
workflow.wf_task,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
workflow.wf_task,instance_id,workflow.wf_instance,id,N:1,RESTRICT,字段级外键
workflow.wf_task,assignee_id,org.employee,id,N:1,RESTRICT,字段级外键
workflow.wf_action_log,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
workflow.wf_action_log,created_by,org.employee,id,N:1,RESTRICT,字段级外键
workflow.wf_action_log,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
workflow.wf_action_log,instance_id,workflow.wf_instance,id,N:1,RESTRICT,字段级外键
workflow.wf_action_log,task_id,workflow.wf_task,id,N:1,RESTRICT,字段级外键
workflow.wf_form_definition,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
workflow.wf_form_definition,created_by,org.employee,id,N:1,RESTRICT,字段级外键
workflow.wf_form_definition,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
workflow.wf_submission,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
workflow.wf_submission,created_by,org.employee,id,N:1,RESTRICT,字段级外键
workflow.wf_submission,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
workflow.wf_submission,instance_id,workflow.wf_instance,id,N:1,RESTRICT,字段级外键
workflow.wf_submission,task_id,workflow.wf_task,id,N:1,RESTRICT,字段级外键
workflow.wf_submission,form_definition_id,workflow.wf_form_definition,id,N:1,RESTRICT,字段级外键
workflow.wf_submission,submitter_id,org.employee,id,N:1,RESTRICT,字段级外键
workflow.wf_submission_value,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
workflow.wf_submission_value,created_by,org.employee,id,N:1,RESTRICT,字段级外键
workflow.wf_submission_value,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
workflow.wf_submission_value,submission_id,workflow.wf_submission,id,N:1,RESTRICT,字段级外键
workflow.wf_business_relation,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
workflow.wf_business_relation,created_by,org.employee,id,N:1,RESTRICT,字段级外键
workflow.wf_business_relation,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
workflow.wf_orchestration_instance,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
workflow.wf_orchestration_instance,workflow_instance_id,workflow.wf_instance,id,N:1,RESTRICT,字段级外键
workflow.wf_orchestration_instance,created_by,org.employee,id,N:1,RESTRICT,字段级外键
workflow.wf_orchestration_instance,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
workflow.wf_orchestration_instance,lead_center_id,org.organization,id,N:1,RESTRICT,字段级外键
workflow.wf_orchestration_link,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
workflow.wf_orchestration_link,created_by,org.employee,id,N:1,RESTRICT,字段级外键
workflow.wf_orchestration_link,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
workflow.wf_orchestration_link,orchestration_id,workflow.wf_orchestration_instance,id,N:1,RESTRICT,字段级外键
workflow.wf_orchestration_link,child_instance_id,workflow.wf_instance,id,N:1,RESTRICT,字段级外键
workflow.wf_rule,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
workflow.wf_rule,created_by,org.employee,id,N:1,RESTRICT,字段级外键
workflow.wf_rule,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
workflow.wf_sla_policy,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
workflow.wf_sla_policy,created_by,org.employee,id,N:1,RESTRICT,字段级外键
workflow.wf_sla_policy,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
workflow.generic_request,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
workflow.generic_request,workflow_instance_id,workflow.wf_instance,id,N:1,RESTRICT,字段级外键
workflow.generic_request,created_by,org.employee,id,N:1,RESTRICT,字段级外键
workflow.generic_request,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
document.file_object,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
document.file_object,created_by,org.employee,id,N:1,RESTRICT,字段级外键
document.file_object,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
document.attachment_link,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
document.attachment_link,created_by,org.employee,id,N:1,RESTRICT,字段级外键
document.attachment_link,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
document.attachment_link,file_id,document.file_object,id,N:1,RESTRICT,字段级外键
document.signature_envelope,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
document.signature_envelope,workflow_instance_id,workflow.wf_instance,id,N:1,RESTRICT,字段级外键
document.signature_envelope,created_by,org.employee,id,N:1,RESTRICT,字段级外键
document.signature_envelope,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
document.signature_envelope,completed_file_id,document.file_object,id,N:1,RESTRICT,字段级外键
document.signature_party,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
document.signature_party,created_by,org.employee,id,N:1,RESTRICT,字段级外键
document.signature_party,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
document.signature_party,envelope_id,document.signature_envelope,id,N:1,RESTRICT,字段级外键
notification.template,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
notification.template,created_by,org.employee,id,N:1,RESTRICT,字段级外键
notification.template,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
notification.message,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
notification.message,created_by,org.employee,id,N:1,RESTRICT,字段级外键
notification.message,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
notification.message,template_id,notification.template,id,N:1,RESTRICT,字段级外键
integration.endpoint,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
integration.endpoint,created_by,org.employee,id,N:1,RESTRICT,字段级外键
integration.endpoint,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
integration.request_log,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
integration.request_log,created_by,org.employee,id,N:1,RESTRICT,字段级外键
integration.request_log,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
integration.request_log,endpoint_id,integration.endpoint,id,N:1,RESTRICT,字段级外键
integration.retry_task,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
integration.retry_task,created_by,org.employee,id,N:1,RESTRICT,字段级外键
integration.retry_task,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
integration.retry_task,endpoint_id,integration.endpoint,id,N:1,RESTRICT,字段级外键
integration.dead_letter,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
integration.dead_letter,created_by,org.employee,id,N:1,RESTRICT,字段级外键
integration.dead_letter,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
integration.data_import_job,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
integration.data_import_job,workflow_instance_id,workflow.wf_instance,id,N:1,RESTRICT,字段级外键
integration.data_import_job,created_by,org.employee,id,N:1,RESTRICT,字段级外键
integration.data_import_job,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
integration.data_import_job,source_file_id,document.file_object,id,N:1,RESTRICT,字段级外键
integration.data_import_job,result_file_id,document.file_object,id,N:1,RESTRICT,字段级外键
audit.data_export_request,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
audit.data_export_request,workflow_instance_id,workflow.wf_instance,id,N:1,RESTRICT,字段级外键
audit.data_export_request,created_by,org.employee,id,N:1,RESTRICT,字段级外键
audit.data_export_request,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
audit.data_export_request,file_id,document.file_object,id,N:1,RESTRICT,字段级外键
audit.data_quality_issue,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
audit.data_quality_issue,workflow_instance_id,workflow.wf_instance,id,N:1,RESTRICT,字段级外键
audit.data_quality_issue,created_by,org.employee,id,N:1,RESTRICT,字段级外键
audit.data_quality_issue,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
audit.audit_policy,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
audit.audit_policy,created_by,org.employee,id,N:1,RESTRICT,字段级外键
audit.audit_policy,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
iam.login_session,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
iam.login_session,workflow_instance_id,workflow.wf_instance,id,N:1,RESTRICT,字段级外键
iam.login_session,created_by,org.employee,id,N:1,RESTRICT,字段级外键
iam.login_session,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
iam.login_session,owner_center_id,org.organization,id,N:1,RESTRICT,字段级外键
iam.login_session,owner_department_id,org.organization,id,N:1,RESTRICT,字段级外键
iam.login_session,owner_employee_id,org.employee,id,N:1,RESTRICT,字段级外键
iam.login_session_item,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
iam.login_session_item,created_by,org.employee,id,N:1,RESTRICT,字段级外键
iam.login_session_item,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
iam.permission_request,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
iam.permission_request,workflow_instance_id,workflow.wf_instance,id,N:1,RESTRICT,字段级外键
iam.permission_request,created_by,org.employee,id,N:1,RESTRICT,字段级外键
iam.permission_request,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
iam.permission_request,owner_center_id,org.organization,id,N:1,RESTRICT,字段级外键
iam.permission_request,owner_department_id,org.organization,id,N:1,RESTRICT,字段级外键
iam.permission_request,owner_employee_id,org.employee,id,N:1,RESTRICT,字段级外键
iam.permission_request_item,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
iam.permission_request_item,created_by,org.employee,id,N:1,RESTRICT,字段级外键
iam.permission_request_item,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
hr.employee_profile_change,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
hr.employee_profile_change,workflow_instance_id,workflow.wf_instance,id,N:1,RESTRICT,字段级外键
hr.employee_profile_change,created_by,org.employee,id,N:1,RESTRICT,字段级外键
hr.employee_profile_change,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
hr.employee_profile_change,owner_center_id,org.organization,id,N:1,RESTRICT,字段级外键
hr.employee_profile_change,owner_department_id,org.organization,id,N:1,RESTRICT,字段级外键
hr.employee_profile_change,owner_employee_id,org.employee,id,N:1,RESTRICT,字段级外键
hr.employee_profile_change_item,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
hr.employee_profile_change_item,created_by,org.employee,id,N:1,RESTRICT,字段级外键
hr.employee_profile_change_item,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
collaboration.notice,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
collaboration.notice,workflow_instance_id,workflow.wf_instance,id,N:1,RESTRICT,字段级外键
collaboration.notice,created_by,org.employee,id,N:1,RESTRICT,字段级外键
collaboration.notice,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
collaboration.notice,owner_center_id,org.organization,id,N:1,RESTRICT,字段级外键
collaboration.notice,owner_department_id,org.organization,id,N:1,RESTRICT,字段级外键
